Compound;InChIKey;SMILES;RT;LAB;DrugClass;1;2;3;4;5;Mean RT;SD;Error;Set;RT error window
N-propyl Pentedrone;XRDFYYCTRQFMQB-UHFFFAOYSA-N;CCCC(NCCC)C(C1=CC=CC=C1)=O;5.57;CFSRE;Cathinones;5.77;5.94;6.10;6.11;5.74;5.93;0.17;0.36;Train;± 0.5 min
NM-2201;PRGFSQYZCKCBQO-UHFFFAOYSA-N;O=C(C1=CN(CCCCCF)C2=C1C=CC=C2)OC3=C4C=CC=CC4=CC=C3;10.19;CFSRE;Cannabinoids;10.31;10.03;10.49;10.40;10.13;10.27;0.19;0.08;Train;± 0.5 min
NNEI;GWCQNKRMTGVYIZ-UHFFFAOYSA-N;O=C(C1=CN(CCCCC)C2=C1C=CC=C2)NC3=C4C=CC=CC4=CC=C3;9.92;CFSRE;Cannabinoids;10.10;9.86;10.24;10.05;9.94;10.04;0.14;0.12;Test;± 0.5 min
NPB-22;UWICFJAXLKCHTQ-UHFFFAOYSA-N;O=C(C1=NN(CCCCC)C2=C1C=CC=C2)OC3=C4N=CC=CC4=CC=C3;9.83;CFSRE;Cannabinoids;9.86;9.77;10.06;10.00;9.92;9.92;0.11;0.09;Validation;± 0.5 min
NPP;YDJXNYNKKXZBMP-UHFFFAOYSA-N;O=C1CCN(CCC2=CC=CC=C2)CC1;3.28;CFSRE;Unknown;4.16;4.49;4.79;4.50;4.51;4.49;0.22;1.21;Test;1 to 2 min
Nalbuphine;NETZHAKZCGBWSS-CEDHKZHLSA-N;C1(CCC1)CN1[C@H]2[C@@]3(CC[C@@H]([C@H]4[C@@]3(C=3C(=C(C=CC3C2)O)O4)CC1)O)O;4.28;CFSRE;Unknown;4.39;4.16;4.34;4.47;4.06;4.28;0.17;0.00;Train;± 0.5 min
Naloxone;UZHSEJADLWPNLE-GRGSLBFTSA-N;O=C1[C@@H]2OC3=C(O)C=CC4=C3[C@@]2([C@]5(CC1)O)CCN(CC=C)[C@@H]5C4;3.47;CFSRE;Unknown;4.41;4.01;3.99;4.31;3.91;4.13;0.22;0.66;Optimization;0.5 to 1 min
Naltrexone;DQCKKXVULJGBQN-XFWGSAIBSA-N;[H][C@@]12OC3=C(O)C=CC4=C3[C@]11CCN(CC3CC3)[C@]([H])(C4)[C@@]1(O)CCC2=O;3.8;CFSRE;Opioids;4.28;4.14;3.93;4.26;3.91;4.11;0.18;0.31;Train;± 0.5 min
Naphyrone;DTNUPBSOODGRKW-UHFFFAOYSA-N;CCCC(N1CCCC1)C(C2=CC=C3C=CC=CC3=C2)=O;6.7;CFSRE;Cathinones;6.65;6.62;6.73;6.82;6.47;6.66;0.13;-0.04;Train;± 0.5 min
Nitrazolam;OYRPNABWTHDOFK-UHFFFAOYSA-N;Cc1nnc2n1c1ccc(cc1C(=NC2)c1ccccc1)N(=O)=O;6.75;CFSRE;Benzodiazepines;6.77;6.68;6.77;6.85;6.65;6.74;0.08;-0.01;Train;± 0.5 min
Norbuprenorphine;YOYLLRBMGQRFTN-IOMBULRVSA-N;C[C@]([C@H]1C[C@@]23CC[C@@]1([C@H]4[C@@]25CCN[C@@H]3Cc6c5c(c(cc6)O)O4)OC)(C(C)(C)C)O;5.81;CFSRE;Unknown;5.76;5.45;5.77;5.79;5.47;5.65;0.17;-0.16;Train;± 0.5 min
Norcarfentanil;HFNFODVRYCEIQL-UHFFFAOYSA-N;CCC(=O)N(C1=CC=CC=C1)C2(CCNCC2)C(=O)OC;5.08;CFSRE;Opioids;3.53;3.60;3.48;3.42;3.73;3.55;0.12;-1.53;Validation;-2 to -1 min
Norcodeine;HKOIXWVRNLGFOR-KOFBORESSA-N;COC1=C2C3=C(C[C@@H]4[C@H]5[C@]3(CCN4)[C@@H](O2)[C@H](C=C5)O)C=C1;3.39;CFSRE;Opioids;2.94;3.23;3.09;3.11;3.06;3.09;0.10;-0.30;Train;± 0.5 min
Nordiazepam;AKPLHCDWDRPJGD-UHFFFAOYSA-N;ClC1=CC2=C(C=C1)NC(CN=C2C3=CC=CC=C3)=O;7.68;CFSRE;Benzodiazepines;7.17;7.06;7.39;7.39;7.13;7.23;0.15;-0.45;Optimization;± 0.5 min
Norfentanyl;PMCBDBWCQQBSRJ-UHFFFAOYSA-N;CCC(=O)N(C1CCNCC1)C2=CC=CC=C2;4.63;CFSRE;Opioids;4.27;4.38;4.64;4.53;4.52;4.47;0.14;-0.16;Train;± 0.5 min
Norflunitrazepam;KNGIGRDYBQPXKQ-UHFFFAOYSA-N;O=C1CN=C(C2=CC=CC=C2F)C3=CC([N+]([O-])=O)=CC=C3N1;6.85;CFSRE;Benzodiazepines;6.76;6.75;7.05;7.02;6.63;6.84;0.18;-0.01;Validation;± 0.5 min
Norketamine;BEQZHFIKTBVCAU-UHFFFAOYSA-N;O=C1C(C2=CC=CC=C2Cl)(N)CCCC1;4.45;CFSRE;Arylcyclohexylamines;4.47;4.38;4.45;4.48;4.33;4.42;0.06;-0.03;Train;± 0.5 min
Noroxycodone;RIKMCJUNPCRFMW-ISWURRPUSA-N;COC1=C2C3=C(C[C@@H]4[C@]5([C@]3(CCN4)[C@@H](O2)C(=O)CC5)O)C=C1;3.72;CFSRE;Opioids;3.56;3.74;3.46;3.58;3.43;3.55;0.12;-0.17;Train;± 0.5 min
Norpropoxyphene;IKACRWYHQXOSGM-UTKZUKDTSA-N;[H][C@@](C)(CNC)[C@@](CC1=CC=CC=C1)(OC(=O)CC)C1=CC=CC=C1;7.11;CFSRE;Unknown;6.54;6.36;6.24;6.27;6.69;6.42;0.19;-0.69;Optimization;-1 to -0.5 min
O-Desmethylvenlafaxine;KYYIDSXMWOZKMP-UHFFFAOYSA-N;CN(C)CC(C1=CC=C(O)C=C1)C1(O)CCCCC1;4.61;CFSRE;Unknown;5.33;5.02;5.40;5.06;5.58;5.28;0.24;0.67;Optimization;0.5 to 1 min
ORG 28611;ONXJNAIZJKLJGA-UHFFFAOYSA-N;O=C(C1=CN(CC2CCCCC2)C3=C1C=CC=C3OC)N4CC(C)N(C)CC4;7.73;CFSRE;Cannabinoids;7.82;7.44;7.96;7.43;7.78;7.69;0.24;-0.04;Optimization;± 0.5 min
Ocfentanil;NYISTOZKVCMVEL-UHFFFAOYSA-N;O=C(N(C1=CC=CC=C1F)C2CCN(CCC3=CC=CC=C3)CC2)COC;5.74;CFSRE;Opioids;5.60;5.59;5.98;5.56;5.60;5.67;0.18;-0.07;Test;± 0.5 min
Orphenadrine;QVYRGXJJSLMXQH-UHFFFAOYSA-N;CC1=CC=CC=C1C(C2=CC=CC=C2)OCCN(C)C;6.8;CFSRE;Unknown;6.55;6.40;6.61;6.51;6.63;6.54;0.09;-0.26;Train;± 0.5 min
Oxazepam;ADIMAYPTOBDMTL-UHFFFAOYSA-N;ClC=1C=CC2=C(C(=NC(C(N2)=O)O)C2=CC=CC=C2)C1;7.18;CFSRE;Benzodiazepines;6.70;6.97;7.27;7.13;6.82;6.98;0.23;-0.20;Test;± 0.5 min
Oxycodone;BRUQQQPBMZOVGD-XFKAJCMBSA-N;[H][C@@]12OC3=C(OC)C=CC4=C3[C@]11CCN(C)[C@]([H])(C4)[C@@]1(O)CCC2=O;3.73;CFSRE;Opioids;3.71;3.85;3.64;3.63;3.56;3.68;0.11;-0.05;Train;± 0.5 min
Oxymorphone;UQCNKQCJZOAFTQ-ISWURRPUSA-N;O=C1[C@@H]2OC3=C(O)C=CC4=C3[C@@]2([C@]5(CC1)O)CCN(C)[C@@H]5C4;1.98;CFSRE;Opioids;3.55;3.75;3.50;3.57;3.43;3.56;0.12;1.58;Validation;1 to 2 min
PB-22;ZAVGICCEAOUWFM-UHFFFAOYSA-N;O=C(C1=CN(CCCCC)C2=C1C=CC=C2)OC3=C4N=CC=CC4=CC=C3;10.12;CFSRE;Cannabinoids;10.21;9.99;10.41;10.36;10.16;10.23;0.17;0.11;Train;± 0.5 min
PB-22 3-Carboxyindole;HAPJUNILBCTRIJ-UHFFFAOYSA-N;O=C(C1=CN(CCCCC)C2=C1C=CC=C2)O;8.82;CFSRE;Cannabinoids;8.35;8.56;8.68;8.60;8.37;8.51;0.14;-0.31;Train;± 0.5 min
PCP;JTJMJGYZQZDUJJ-UHFFFAOYSA-N;N1(C2(C3=CC=CC=C3)CCCCC2)CCCCC1;5.93;CFSRE;Arylcyclohexylamines;6.19;5.85;6.03;5.99;5.99;6.01;0.12;0.08;Test;± 0.5 min
PF-03550096;GGNIFXBIJCNXCT-UHFFFAOYSA-N;O=C(N1C2=CC=CC=C2N(CCC(C)(O)C)C1=O)N[C@@H](C(C)(C)C)C(N)=O;7.63;CFSRE;Cannabinoids;6.84;6.52;6.71;6.60;6.62;6.66;0.12;-0.97;Optimization;-1 to -0.5 min
PMA;NEGYEDYHPHMHGK-UHFFFAOYSA-N;CC(N)CC1=CC=C(OC)C=C1;3.99;CFSRE;Phenethylamines;4.06;4.43;4.34;4.23;4.00;4.21;0.18;0.22;Optimization;± 0.5 min
PMMA;UGFMBZYKVQSQFX-UHFFFAOYSA-N;CC(NC)CC1=CC=C(OC)C=C1;4.15;CFSRE;Phenethylamines;4.44;4.81;4.74;4.62;4.39;4.60;0.18;0.45;Optimization;± 0.5 min
PTI-1;PCNLLVFKBKMRDB-UHFFFAOYSA-N;CCN(CC)CC1=CSC(C2=CN(CCCCC)C3=C2C=CC=C3)=N1;8.57;CFSRE;Cannabinoids;8.55;8.46;8.74;8.45;9.01;8.64;0.24;0.07;Train;± 0.5 min
PTI-2;PSAKYYVEVVAWJL-UHFFFAOYSA-N;CCCCCn1cc(-c2nc(CN(CCOC)C(C)C)cs2)c2ccccc21;8.8;CFSRE;Cannabinoids;8.75;7.89;8.10;7.93;8.62;8.26;0.40;-0.54;Train;-1 to -0.5 min
PX1;DDVANTXQCRMRFF-UHFFFAOYSA-N;O=C(N)[C@H](CC1=CC=CC=C1)NC(C2=CN(CCCCCF)C3=C2C=CC=C3)=O;8.23;CFSRE;Cannabinoids;8.61;8.42;8.52;8.45;8.54;8.51;0.07;0.28;Train;± 0.5 min
Pentazocine;VOKSWYLNZZRQPF-UHFFFAOYSA-N;CC12CCN(C(CC3=C1C=C(C=C3)O)C2C)CC=C(C)C;5.78;CFSRE;Unknown;6.74;6.27;6.70;6.62;6.57;6.58;0.18;0.80;Train;0.5 to 1 min
Pentedrone;WLIWIUNEJRETFX-UHFFFAOYSA-N;O=C(C(CCC)NC)C1=CC=CC=C1;4.76;CFSRE;Cathinones;4.75;4.75;4.85;4.99;4.57;4.78;0.15;0.02;Train;± 0.5 min
Pentylone;DFMLULIEUUXXSA-UHFFFAOYSA-N;CCCC(NC)C(C1=CC=C(OCO2)C2=C1)=O;4.98;CFSRE;Cathinones;4.73;4.66;4.51;4.70;4.19;4.56;0.23;-0.42;Train;± 0.5 min
Phenazepam;CGMJQQJSWIRRRL-UHFFFAOYSA-N;BrC=1C=CC2=C(C(=NCC(N2)=O)C2=C(C=CC=C2)Cl)C1;7.86;CFSRE;Benzodiazepines;7.85;7.93;8.03;8.05;7.83;7.94;0.10;0.08;Train;± 0.5 min
Phenazolam;BUTCFAZTKZDYCN-UHFFFAOYSA-N;BrC=1C=CC2=C(C(=NCC=3N2C(=NN3)C)C3=C(C=CC=C3)Cl)C1;7.62;CFSRE;Benzodiazepines;7.55;7.54;7.80;7.77;7.57;7.65;0.13;0.03;Train;± 0.5 min
Phenibut;DAFOCGYVTAOKAJ-UHFFFAOYSA-N;O=C(O)CC(C1=CC=CC=C1)CN;2.03;CFSRE;Unknown;2.28;2.19;2.24;2.48;2.06;2.25;0.15;0.22;Train;± 0.5 min
Phenmetrazine;OOBHFESNSZDWIU-UHFFFAOYSA-N;CC1NCCOC1C2=CC=CC=C2;3.74;CFSRE;Unknown;3.46;3.50;4.05;3.91;3.70;3.72;0.25;-0.02;Validation;± 0.5 min
Phenpromethamine;AUFSOOYCQYDGES-UHFFFAOYSA-N;CC(CNC)C1=CC=CC=C1;3.76;CFSRE;Unknown;3.77;3.47;4.12;3.86;3.99;3.84;0.24;0.08;Train;± 0.5 min
Phenylacetyl Fentanyl;QIGINNCOUQLAIF-UHFFFAOYSA-N;C1(=CC=CC=C1)N(C(CC1=CC=CC=C1)=O)C1CCN(CC1)CCC1=CC=CC=C1;7.3;CFSRE;Opioids;7.08;7.11;7.28;7.25;7.09;7.16;0.10;-0.14;Train;± 0.5 min
Phenylbenzyl fentanyl;TVPYSIMEYHFHLN-UHFFFAOYSA-N;O=C(N(C1CCN(CC2=CC=CC=C2)CC1)C3=CC=CC=C3)C4=CC=CC=C4;6.56;CFSRE;Opioids;6.98;7.10;7.11;7.17;7.04;7.08;0.07;0.52;Test;0.5 to 1 min
Phenylfentanyl;BJPDWVPQDSVQKD-UHFFFAOYSA-N;O=C(N(C1CCN(CCC2=CC=CC=C2)CC1)C3=CC=CC=C3)C4=CC=CC=C4;6.89;CFSRE;Opioids;7.18;7.19;7.31;7.30;7.17;7.23;0.07;0.34;Train;± 0.5 min
Phenylpropanolamine;DLNKOYKMWOXYQA-CBAPKCEASA-N;N[C@H]([C@H](O)C1=CC=CC=C1)C;2.31;CFSRE;Phenethylamines;2.33;2.41;2.58;2.75;2.29;2.47;0.19;0.16;Train;± 0.5 min
Piperidylthiambutene;FQRWJLVMJCKSME-UHFFFAOYSA-N;CC(C=C(C=1SC=CC1)C=1SC=CC1)N1CCCCC1;6.77;CFSRE;Opioids;6.71;7.10;7.05;6.90;7.16;6.98;0.18;0.21;Train;± 0.5 min
Pivaloylfentanyl;ZSFLALBHNJDBFJ-UHFFFAOYSA-N;CC(C(=O)N(C1CCN(CC1)CCC1=CC=CC=C1)C1=CC=CC=C1)(C)C;7.23;CFSRE;Opioids;7.08;7.16;7.23;7.28;7.21;7.19;0.08;-0.04;Train;± 0.5 min
Pravadoline;MEUQWHZOUDZXHH-UHFFFAOYSA-N;O=C(C1=CC=C(OC)C=C1)C2=C(C)N(CCN3CCOCC3)C4=C2C=CC=C4;6.78;CFSRE;Cannabinoids;8.17;8.11;8.60;7.78;7.78;8.09;0.34;1.31;Test;1 to 2 min
Primidone;DQMZLTXERSFNPB-UHFFFAOYSA-N;CCC1(C(O)=NCN=C1O)C1=CC=CC=C1;4.75;CFSRE;Unknown;6.59;6.03;6.53;5.75;5.85;6.15;0.39;1.40;Optimization;1 to 2 min
Propoxyphene;XLMALTXPSGQGBX-GCJKJVERSA-N;[H][C@@](C)(CN(C)C)[C@@](CC1=CC=CC=C1)(OC(=O)CC)C1=CC=CC=C1;7.13;CFSRE;Opioids;6.71;6.74;7.11;7.00;7.00;6.91;0.18;-0.22;Test;± 0.5 min
Propylone;YFVKHKCZBSGZPE-UHFFFAOYSA-N;CC(NCCC)C(C1=CC=C(OCO2)C2=C1)=O;4.55;CFSRE;Cathinones;4.60;4.52;4.39;4.57;4.04;4.42;0.23;-0.13;Train;± 0.5 min
Psilocin;SPCIYGNTAMCTRO-UHFFFAOYSA-N;OC=1C=CC=C2NC=C(CCN(C)C)C12;3;CFSRE;Indolalkylamines;3.14;3.17;3.35;3.29;2.87;3.16;0.18;0.16;Train;± 0.5 min
Psilocybin;QVDSEJDULKLHCG-UHFFFAOYSA-N;CN(C)CCC1=CNC2=C1C(=CC=C2)OP(=O)(O)O;1.13;CFSRE;Indolalkylamines;1.35;1.39;1.09;1.16;1.14;1.22;0.14;0.09;Train;± 0.5 min
Pyrazolam;BGRWSFIQQPVEML-UHFFFAOYSA-N;CC1=NN=C2N1C3=CC=C(Br)C=C3C(C4=NC=CC=C4)=NC2;6.18;CFSRE;Benzodiazepines;7.08;7.18;7.08;7.06;6.99;7.08;0.07;0.90;Validation;0.5 to 1 min
Pyrilamine;YECBIJXISLIIDS-UHFFFAOYSA-N;COC1=CC=C(CN(CCN(C)C)C2=CC=CC=N2)C=C1;5.69;CFSRE;Unknown;4.73;5.19;5.89;5.55;5.25;5.32;0.43;-0.37;Train;± 0.5 min
Pyrovalerone;SWUVZKWCOBGPTH-UHFFFAOYSA-N;CCCC(N1CCCC1)C(C2=CC=C(C)C=C2)=O;5.86;CFSRE;Cathinones;5.84;5.86;6.01;6.13;5.71;5.91;0.16;0.05;Optimization;± 0.5 min
RCS-4;OZCYJKDWRUIFFE-UHFFFAOYSA-N;COC1=CC=C(C=C1)C(=O)C1=CN(C2=CC=CC=C12)CCCCC;9.98;CFSRE;Cannabinoids;10.17;9.88;10.61;10.61;10.15;10.28;0.32;0.30;Test;± 0.5 min
RCS-4 C4 Homolog;INTUAOVLJFCJIP-UHFFFAOYSA-N;O=C(C1=CC=C(OC)C=C1)C2=CN(CCCC)C3=C2C=CC=C3;9.57;CFSRE;Cannabinoids;9.84;9.61;10.40;10.49;9.95;10.06;0.38;0.49;Test;± 0.5 min
RCS-8;BSQFBMXCQIKYNI-UHFFFAOYSA-N;COC1=CC=CC=C1CC(C2=CN(CCC3CCCCC3)C4=C2C=CC=C4)=O;10.68;CFSRE;Cannabinoids;10.17;10.03;10.52;10.01;10.19;10.18;0.21;-0.50;Train;± 0.5 min
Remifentanyl Acid;GFJKFSFFMHOISI-UHFFFAOYSA-N;O=C(O)CCN1CCC(N(C(CC)=O)C2=CC=CC=C2)(C(OC)=O)CC1;5.21;CFSRE;Opioids;5.32;5.21;5.22;5.12;4.84;5.14;0.18;-0.07;Train;± 0.5 min
SDB-005;JBVNFKZVDLFOAY-UHFFFAOYSA-N;O=C(C1=NN(CCCCC)C2=C1C=CC=C2)OC3=C4C=CC=CC4=CC=C3;10.74;CFSRE;Cannabinoids;10.43;10.20;10.75;10.67;10.43;10.50;0.22;-0.24;Train;± 0.5 min
SDB-006;OLACYTSBFXCDOH-UHFFFAOYSA-N;O=C(C1=CN(CCCCC)C2=C1C=CC=C2)NCC3=CC=CC=C3;9.53;CFSRE;Cannabinoids;9.45;9.48;9.71;9.59;9.45;9.53;0.11;0.00;Train;± 0.5 min
SDB-006 N-Phenyl Analogue;SPUQBSMPSCYQLS-UHFFFAOYSA-N;O=C(C1=CN(CCCCC)C2=C1C=CC=C2)NC3=CC=CC=C3;9.63;CFSRE;Cannabinoids;9.71;9.54;9.99;9.61;9.54;9.68;0.19;0.05;Validation;± 0.5 min
SER-601;KUMKLUDNETVLDS-UHFFFAOYSA-N;O=C(C1=CN(CCCCC)C2=C(C=C(C(C)C)C=C2)C1=O)NC34CC5CC(C4)CC(C5)C3;11.58;CFSRE;Cannabinoids;10.09;10.89;11.50;10.90;10.50;10.78;0.52;-0.80;Train;-1 to -0.5 min
STS-135;COYHGVCHRRXECF-UHFFFAOYSA-N;O=C(C1=CN(CCCCCF)C2=C1C=CC=C2)NC34CC5CC(C4)CC(C5)C3;10.25;CFSRE;Cannabinoids;9.24;9.32;9.41;9.35;9.30;9.32;0.06;-0.93;Optimization;-1 to -0.5 min
Salvinorin A;OBSYBRPAKCASQB-AGQYDFLVSA-N;O=C([C@@H]1C[C@H](OC(C)=O)C([C@]([C@@]1(C)CC[C@]23[H])([H])[C@@]2(C)C[C@@H](C4=COC=C4)OC3=O)=O)OC;7.98;CFSRE;Plants & extracts;7.43;7.83;7.61;7.87;7.58;7.67;0.18;-0.31;Optimization;± 0.5 min
Salvinorin B;BLTMVAIOAAGYAR-CEFSSPBYSA-N;O=C([C@@H]1C[C@H](O)C([C@]([C@@]1(C)CC[C@]23[H])([H])[C@@]2(C)C[C@@H](C4=COC=C4)OC3=O)=O)OC;6.81;CFSRE;Plants & extracts;6.52;6.95;6.86;6.99;6.77;6.82;0.19;0.01;Train;± 0.5 min
Scopolamine;STECJAGHUSJQJN-FWXGHANASA-N;[H][C@](CO)(C(=O)O[C@]1([H])C[C@@]2([H])N(C)[C@@]([H])(C1)[C@]1([H])O[C@]21[H])C1=CC=CC=C1;3.76;CFSRE;Unknown;3.82;3.60;3.58;3.78;3.65;3.69;0.11;-0.07;Train;± 0.5 min
Senecioyl Fentanyl;PJBSYEBTXWQUEB-UHFFFAOYSA-N;CC(C)=CC(N(C1CCN(CCC2=CC=CC=C2)CC1)C3=CC=CC=C3)=O;6.88;CFSRE;Opioids;6.81;6.91;6.95;7.01;6.89;6.91;0.07;0.03;Train;± 0.5 min
Sertraline;VGKDLMBJGBXTGI-SJCJKPOMSA-N;ClC1=CC=C([C@H]2C3=C([C@H](CC2)NC)C=CC=C3)C=C1Cl;7.59;CFSRE;Unknown;11.26;8.70;10.56;9.38;9.61;9.90;1.01;2.31;Test;> 2 min
Sibutramine;UNAANXDKBXWMLN-UHFFFAOYSA-N;CC(C)CC(C1(C2=CC=C(Cl)C=C2)CCC1)N(C)C;7.49;CFSRE;Unknown;10.32;8.31;9.93;8.73;9.18;9.30;0.83;1.81;Optimization;1 to 2 min
Strychnine;QMGVPVSNSZLJIA-FVWCLLPLSA-N;[H][C@]12C[C@@]3([H])C4=CCO[C@@]5([H])CC(=O)N6C7=CC=CC=C7[C@]1(CCN2C4)[C@]6([H])[C@@]35[H];4.34;CFSRE;Unknown;4.37;4.19;4.50;4.47;4.29;4.36;0.13;0.02;Train;± 0.5 min
Sufentanil;GGCSSNBKKAUURC-UHFFFAOYSA-N;CCC(N(C1(COC)CCN(CCC2=CC=CS2)CC1)C3=CC=CC=C3)=O;6.89;CFSRE;Opioids;5.95;6.21;6.23;6.04;6.01;6.09;0.12;-0.80;Test;-1 to -0.5 min
TFMPP;KKIMDKMETPPURN-UHFFFAOYSA-N;FC(C=1C=C(C=CC1)N1CCNCC1)(F)F;5.67;CFSRE;Piperazine derivates;5.56;5.49;5.77;5.45;5.01;5.45;0.28;-0.22;Train;± 0.5 min
THJ;YAYIQXMTUCPLHG-UHFFFAOYSA-N;O=C(C1=NN(CCCCC)C2=C1C=CC=C2)NC3=C4N=CC=CC4=CC=C3;11.09;CFSRE;Cannabinoids;9.05;9.13;9.49;9.45;9.27;9.28;0.19;-1.81;Train;-2 to -1 min
THJ-018;VAKGBPSFDNTMDJ-UHFFFAOYSA-N;O=C(C1=C2C=CC=CC2=CC=C1)C3=NN(CCCCC)C4=C3C=CC=C4;10.72;CFSRE;Cannabinoids;10.18;9.96;10.62;10.30;10.24;10.26;0.24;-0.46;Validation;± 0.5 min
THJ-2201;DULWRYKFTVFPTL-UHFFFAOYSA-N;O=C(C1=NN(CCCCCF)C2=C1C=CC=C2)C3=C4C=CC=CC4=CC=C3;10.05;CFSRE;Cannabinoids;9.74;9.66;10.10;9.92;9.81;9.85;0.17;-0.20;Optimization;± 0.5 min
Tadalafil;WOXKDUGGOYFFRN-IIBYNOLFSA-N;O=C1N(CC(N2[C@@H]1CC3=C([C@H]2C4=CC5=C(OCO5)C=C4)NC6=C3C=CC=C6)=O)C;7.39;CFSRE;Unknown;7.60;7.23;7.44;8.30;6.93;7.50;0.51;0.11;Validation;± 0.5 min
Tapentadol;KWTWDQCKEHXFFR-SMDDNHRTSA-N;CN(C[C@@H]([C@@H](CC)C=1C=C(C=CC1)O)C)C;5.16;CFSRE;Opioids;5.63;5.53;5.05;5.97;5.82;5.60;0.35;0.44;Validation;± 0.5 min
Tenocyclidine;JUZZEWSCNBCFRL-UHFFFAOYSA-N;S1C(=CC=C1)C1(CCCCC1)N1CCCCC1;5.75;CFSRE;Arylcyclohexylamines;6.20;6.02;6.08;6.05;6.09;6.09;0.07;0.34;Optimization;± 0.5 min
Tertylone;BFOZYEAQPUMNIY-UHFFFAOYSA-N;CC(NC(C)(C)C)C(C1=CC=C(OCO2)C2=C1)=O;4.94;CFSRE;Cathinones;4.80;4.65;4.56;4.72;4.26;4.60;0.21;-0.34;Train;± 0.5 min
Tetrahydrofuran Fentanyl;OHJNHKUFSKAANI-UHFFFAOYSA-N;O=C(C1OCCC1)N(C2=CC=CC=C2)C3CCN(CCC4=CC=CC=C4)CC3;5.9;CFSRE;Opioids;5.96;5.96;6.03;6.06;5.97;6.00;0.04;0.10;Train;± 0.5 min
Tetrahydrothiophene Fentanyl;RABQLHAVXBEJOF-UHFFFAOYSA-N;O=C(C1CCCS1)N(C2CCN(CCC3=CC=CC=C3)CC2)C4=CC=CC=C4;6.72;CFSRE;Opioids;6.61;6.75;6.75;6.81;6.70;6.72;0.08;0.00;Validation;± 0.5 min
Thebaine;FQXXSQDCDRQNQE-VMDGZTHMSA-N;COC1=CC=C2[C@@H](C3)N(C)CC[C@@]24C5=C3C=CC(OC)=C5O[C@@H]14;5.02;CFSRE;Unknown;4.57;4.30;4.81;4.43;4.58;4.54;0.19;-0.48;Optimization;± 0.5 min
Thienyl Fentanyl;JSOSWRYHPGIWGT-UHFFFAOYSA-N;CCC(N(C1=CC=CC=C1)C2CCN(CC3=CC=CS3)CC2)=O;5.75;CFSRE;Opioids;5.79;5.95;5.88;5.88;5.87;5.87;0.06;0.12;Optimization;± 0.5 min
Thiofentanyl;YMRFZDHYDKZXPA-UHFFFAOYSA-N;CCC(N(C1=CC=CC=C1)C2CCN(CCC3=CC=CS3)CC2)=O;6.02;CFSRE;Opioids;5.92;5.98;6.04;6.04;6.04;6.00;0.05;-0.02;Train;± 0.5 min
Thiophene Fentanyl;CCHPKGYUIHSQIE-UHFFFAOYSA-N;O=C(C1=CC=CS1)N(C2CCN(CCC3=CC=CC=C3)CC2)C4=CC=CC=C4;6.84;CFSRE;Opioids;7.13;7.19;7.20;7.35;7.19;7.21;0.08;0.37;Train;± 0.5 min
Tramadol;TVYLLZQTGLZFBW-UHFFFAOYSA-N;O[C@@]1(C2=CC=CC(OC)=C2)[C@@H](CN(C)C)CCCC1;4.94;CFSRE;Opioids;4.88;4.82;5.24;5.00;5.10;5.01;0.17;0.07;Validation;± 0.5 min
Tranylcypromine;AELCINSCMGFISI-DTWKUNHWSA-N;[H][C@@]1(N)C[C@@]1([H])C1=CC=CC=C1;5.45;CFSRE;Unknown;3.05;3.01;3.07;2.87;3.02;3.00;0.08;-2.45;Optimization;< -2min
Triazolam;JOFWLTCLBGQGBO-UHFFFAOYSA-N;ClC1=CC=CC=C1C2=NCC3=NN=C(C)N3C4=CC=C(Cl)C=C42;7.47;CFSRE;Benzodiazepines;7.49;7.47;7.70;7.63;7.46;7.55;0.11;0.08;Train;± 0.5 min
Trimethoxyamphetamine;TVSIMAWGATVNGK-UHFFFAOYSA-N;CC(N)CC1=CC(OC)=C(OC)C=C1OC;4.37;CFSRE;Phenethylamines;4.27;4.47;4.19;4.34;4.24;4.30;0.11;-0.07;Train;± 0.5 min
U-47700;JGPNMZWFVRQNGU-UHFFFAOYSA-N;O=C(N([C@H]1[C@H](N(C)C)CCCC1)C)C2=CC=C(Cl)C(Cl)=C2;6.21;CFSRE;Opioids;6.14;6.10;6.34;6.33;6.36;6.25;0.12;0.04;Train;± 0.5 min
U-47931E;UFDJFJYMMIZKLG-ZIAGYGMSSA-N;O=C(NC1C(N(C)C)CCCC1)C2=CC=C(Br)C=C2;5.82;CFSRE;Opioids;5.46;5.38;5.29;5.65;5.62;5.48;0.15;-0.34;Validation;± 0.5 min
U-48520;VATXTTIUXCECJO-HUUCEWRRSA-N;ClC1=CC=C(C(=O)N(C)[C@H]2[C@@H](CCCC2)N(C)C)C=C1;5.53;CFSRE;Opioids;5.54;5.50;5.63;5.75;5.69;5.62;0.10;0.09;Optimization;± 0.5 min
U-48800;FKUWIGXXBMULOI-UHFFFAOYSA-N;ClC1=C(C=CC(=C1)Cl)CC(=O)N(C)C1[C@H](CCCC1)N(C)C;6.7;CFSRE;Opioids;6.03;5.97;6.32;6.31;6.23;6.17;0.16;-0.53;Train;-1 to -0.5 min
U-49900;AXACJBKFKCCIOR-IAGOWNOFSA-N;ClC=1C=C(C(=O)N(C)[C@H]2[C@@H](CCCC2)N(CC)CC)C=CC1Cl;6.5;CFSRE;Opioids;6.65;6.75;6.76;6.83;6.72;6.75;0.06;0.25;Train;± 0.5 min
