Compound;InChIKey;SMILES;RT;LAB;DrugClass;1;2;3;4;5;Mean RT;SD;Error;Set;RT error window
FUB-NPB-22;NYHGKZZRRCVGAU-UHFFFAOYSA-N;O=C(C1=NN(CC2=CC=C(F)C=C2)C3=C1C=CC=C3)OC4=C5N=CC=CC5=CC=C4;9.38;CFSRE;Cannabinoids;9.73;9.81;10.02;9.49;9.93;9.80;0.20;0.42;Optimization;± 0.5 min
FUB-PB-22;ROHVURVXAOMRJY-UHFFFAOYSA-N;O=C(C1=CN(CC2=CC=C(F)C=C2)C3=C1C=CC=C3)OC4=C5N=CC=CC5=CC=C4;9.57;CFSRE;Cannabinoids;10.09;10.10;10.50;9.84;10.26;10.16;0.24;0.59;Optimization;0.5 to 1 min
FUB-PB-22 3-Carboxyindole;MRLLPLNNVZERDA-UHFFFAOYSA-N;O=C(O)c1cn(Cc2ccc(F)cc2)c2ccccc12;8.2;CFSRE;Cannabinoids;8.81;8.83;8.96;8.83;9.07;8.90;0.11;0.70;Train;0.5 to 1 min
FUBIMINA N-pentanoic acid;WDHXEBUJPILWFI-UHFFFAOYSA-N;O=C(O)CCCCN1C(C(C2=C3C=CC=CC3=CC=C2)=O)=NC4=CC=CC=C14;8.67;CFSRE;Cannabinoids;9.47;9.29;9.25;9.21;9.38;9.32;0.11;0.65;Test;0.5 to 1 min
Fentanyl;PJMPHNIQZUBGLI-UHFFFAOYSA-N;C1(=CC=CC=C1)N(C(CC)=O)C1CCN(CC1)CCC1=CC=CC=C1;6.2;CFSRE;Opioids;6.11;6.23;6.32;6.31;6.20;6.23;0.09;0.03;Validation;± 0.5 min
Fentanyl Methyl Carbamate;TYJLZTSBOBABQF-UHFFFAOYSA-N;O=C(OC)N(C1CCN(CCC2=CC=CC=C2)CC1)C3=CC=CC=C3;6.05;CFSRE;Opioids;5.95;6.08;6.15;6.03;6.03;6.04;0.08;-0.01;Train;± 0.5 min
Flualprazolam;MPZVLJCMGPYWQQ-UHFFFAOYSA-N;CC1=NN=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4F;7.3;CFSRE;Benzodiazepines;7.33;7.27;7.58;7.41;7.29;7.37;0.13;0.07;Train;± 0.5 min
Flubromazepam;ZRKDDZBVSZLOFS-UHFFFAOYSA-N;O=C1NC2=CC=C(Br)C=C2C(C3=CC=CC=C3F)=NC1;7.65;CFSRE;Benzodiazepines;7.56;7.52;7.86;7.82;7.50;7.65;0.17;0.00;Train;± 0.5 min
Flubromazolam;VXGSZBZQCBNUIP-UHFFFAOYSA-N;CC1=NN=C2N1C3=C(C=C(C=C3)Br)C(=NC2)C4=CC=CC=C4F;7.39;CFSRE;Benzodiazepines;7.30;7.30;7.60;7.51;7.33;7.40;0.14;0.01;Train;± 0.5 min
Fluclotizolam;ZDYRCUZZLRLMHG-UHFFFAOYSA-N;ClC1=CC=2C(=NCC=3N(C2S1)C(=NN3)C)C3=C(C=CC=C3)F;7.34;CFSRE;Benzodiazepines;7.28;7.33;7.43;7.54;7.35;7.39;0.10;0.05;Train;± 0.5 min
Fluetizolam;BCKPHENWWQCRCG-UHFFFAOYSA-N;C(C)C=1SC=2N3C(=NN=C3CN=C(C2C1)C1=C(C=CC=C1)F)C;7.47;CFSRE;Benzodiazepines;7.28;7.25;7.58;7.47;7.30;7.38;0.14;-0.09;Train;± 0.5 min
Flunitazene;ZTWHIDCAGRMKTC-UHFFFAOYSA-N;C(C)N(CCN1C(=NC2=C1C=CC(=C2)[N+](=O)[O-])CC2=CC=C(C=C2)F)CC;6.2;CFSRE;Opioids;6.05;6.16;6.26;6.24;6.11;6.16;0.09;-0.04;Train;± 0.5 min
Flunitrazepam;PPTYJKAXVCCBDU-UHFFFAOYSA-N;O=C1N(C)C2=CC=C([N+]([O-])=O)C=C2C(C3=CC=CC=C3F)=NC1;7.28;CFSRE;Benzodiazepines;7.09;7.09;7.27;7.39;6.87;7.14;0.20;-0.14;Train;± 0.5 min
Fluorexetamine;FCETYWCLCUZFJI-UHFFFAOYSA-N;C(C)NC1(C(CCCC1)=O)C1=CC(=CC=C1)F;4.63;CFSRE;Arylcyclohexylamines;4.65;4.56;4.62;4.49;4.58;4.58;0.06;-0.05;Test;± 0.5 min
