Compound Name,SMILES,RT,Adj. RT,Abs Error
Buphedrone,CCC(NC)C(=O)c1ccccc1,4.022,4.542,0.52
Ouabaine,C[C@@H]1O[C@@H](O[C@H]2C[C@@H](O)[C@]3(CO)[C@H]4[C@H](O)C[C@]5(C)[C@@H](C6=CC(=O)OC6)CC[C@]5(O)[C@@H]4CC[C@]3(O)C2)[C@H](O)[C@H](O)[C@H]1O,4.025,4.758,0.733
Oxamyl,CNC(=O)O/N=C(\SC)C(=O)N(C)C,4.037,4.558,0.521
Trimethoprime,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,4.038,4.126,0.088
2-amino-5-chloropyridine,Nc1ccc(Cl)cn1,4.045,3.269,0.776
Ampicilline,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(=O)O,4.056,3.327,0.729
Nicorandil,O=C(NCCO[N+](=O)[O-])c1cccnc1,4.07,3.476,0.594
Bentazone,CC(C)N1C(=O)c2ccccc2NS1(=O)=O,4.076,5.052,0.976
Zidovudine,Cc1cn([C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)c(=O)[nH]c1=O,4.108,2.651,1.457
Fluroxypyr,Nc1c(Cl)c(F)nc(OCC(=O)O)c1Cl,4.116,5.048,0.932
MDMA,CNC(C)Cc1ccc2c(c1)OCO2,4.119,4.387,0.268
Amrinone,Nc1cc(-c2ccncc2)c[nH]c1=O,4.123,4.047,0.076
Eserine,CNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)[C@@H]1N2C,4.128,5.925,1.797
Oxydemeton-methyl,CCS(=O)CCSP(=O)(OC)OC,4.143,4.975,0.832
PMMA (para-Methoxy-N-methylamphetamine),CNC(C)Cc1ccc(OC)cc1,4.146,4.028,0.118
Hydrocodone,COc1ccc2c3c1O[C@H]1C(=O)CC[C@H]4[C@@H](C2)N(C)CC[C@]314,4.152,4.662,0.51
Methomyl,CNC(=O)ON=C(C)SC,4.155,3.926,0.229
THPI,O=C1NC(=O)C2CC=CCC12,4.176,2.835,1.341
Oxitropium,CC[N+]1(C)[C@@H]2C[C@@H](OC(=O)[C@H](CO)c3ccccc3)C[C@H]1[C@@H]1O[C@@H]12,4.179,4.818,0.639
Cefapirine,CC(=O)OCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)CSc3ccncc3)[C@H]2SC1,4.191,4.222,0.031
Lidocaine,CCN(CC)CC(=O)Nc1c(C)cccc1C,4.192,4.92,0.728
Desmethylvenlafaxine,CN(C)CC(c1ccc(O)cc1)C1(O)CCCCC1,4.194,4.724,0.53
Levamisole,c1ccc([C@H]2CN3CCSC3=N2)cc1,4.216,4.557,0.341
Rilmenidine,C1COC(NC(C2CC2)C2CC2)=N1,4.216,4.25,0.034
Nor-cisapride,COc1cc(N)c(Cl)cc1C(=O)N[C@@H]1CCNC[C@@H]1OC,4.228,4.682,0.454
Trichlorfon,COP(=O)(OC)C(O)C(Cl)(Cl)Cl,4.243,5.433,1.19
Mepivacaine,Cc1cccc(C)c1NC(=O)C1CCCCN1C,4.25,4.997,0.747
Amantadine,NC12CC3CC(CC(C3)C1)C2,4.256,2.699,1.557
Ritalinic acid,O=C(O)C(c1ccccc1)C1CCCCN1,4.262,3.723,0.539
Azathioprine,Cn1cnc([N+](=O)[O-])c1Sc1ncnc2nc[nH]c12,4.264,5.734,1.47
Atropine,CN1[C@@H]2CC[C@H]1C[C@@H](OC(=O)C(CO)c1ccccc1)C2,4.267,5.7,1.433
Sultopride,CCN1CCCC1CNC(=O)c1cc(S(=O)(=O)CC)ccc1OC,4.267,5.255,0.988
Tolonidine,Cc1ccc(NC2=NCCN2)c(Cl)c1,4.291,4.57,0.279
Amphepramone,CCN(CC)[C@@H](C)C(=O)c1ccccc1,4.293,5.188,0.895
Mephedrone,CNC(C)C(=O)c1ccc(C)cc1,4.295,4.116,0.179
Amfepramone,CCN(CC)C(C)C(=O)c1ccccc1,4.304,5.281,0.977
Clothianidin,C/N=C(/NCc1cnc(Cl)s1)N[N+](=O)[O-],4.304,4.444,0.14
Hydroxy-NTN (5-Hydroxy-Imidacloprid),O=[N+]([O-])/N=C1/NCC(O)N1Cc1ccc(Cl)nc1,4.31,4.422,0.112
Proxyphylline,CC(O)Cn1cnc2c1c(=O)n(C)c(=O)n2C,4.311,3.521,0.79
m-toluidine,Cc1cccc(N)c1,4.323,3.306,1.017
Demeton-s-methyl-sulfone,CCS(=O)(=O)CCSP(=O)(OC)OC,4.325,4.654,0.329
BDB,CCC(N)Cc1ccc2c(c1)OCO2,4.326,3.927,0.399
o-toluidine,Cc1ccccc1N,4.346,3.5,0.846
5-APB (5-(2-aminopropyl)benzofuran),CC(N)Cc1ccc2occc2c1,4.359,4.518,0.159
Amisulpride,CCN1CCCC1CNC(=O)c1cc(S(=O)(=O)CC)c(N)cc1OC,4.38,4.958,0.578
Tetrahydrozoline,c1ccc2c(c1)CCCC2C1=NCCN1,4.392,4.155,0.237
Norfenfluramine,CC(N)Cc1cccc(C(F)(F)F)c1,4.396,3.72,0.676
Dapsone,Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,4.397,5.881,1.484
Ethylmorphine,CCOc1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@H]4[C@@H](C2)N(C)CC[C@@]341,4.4,4.51,0.11
Butylone,CCC(NC)C(=O)c1ccc2c(c1)OCO2,4.411,5.118,0.707
Primidone,CCC1(c2ccccc2)C(=O)NCNC1=O,4.418,4.522,0.104
MDEA,CCNC(C)Cc1ccc2c(c1)OCO2,4.42,4.548,0.128
Metoclopramide,CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC,4.426,4.25,0.176
Zonisamide,NS(=O)(=O)Cc1noc2ccccc12,4.439,2.97,1.469
Moclobemide,O=C(NCCN1CCOCC1)c1ccc(Cl)cc1,4.48,4.295,0.185
Tinidazole,CCS(=O)(=O)CCn1c([N+](=O)[O-])cnc1C,4.483,4.49,0.007
Trimetazidine,COc1ccc(CN2CCNCC2)c(OC)c1OC,4.489,4.224,0.265
5-hydroxy-florasulam,O=S(=O)(Nc1c(F)cccc1F)c1nc2c(F)cnc(O)n2n1,4.511,5.59,1.079
Cycloguanil,CC1(C)N=C(N)N=C(N)N1c1ccc(Cl)cc1,4.514,5.576,1.062
Methoxyphenamine,CNC(C)Cc1ccccc1OC,4.515,4.239,0.276
Fenuron,CN(C)C(=O)Nc1ccccc1,4.521,4.969,0.448
Pentedrone,CCCC(NC)C(=O)c1ccccc1,4.537,5.072,0.535
Pymetrozine,CC1=NNC(=O)N(/N=C/c2cccnc2)C1,4.537,4.907,0.37
Atrazine-desethyl,CC(C)Nc1nc(N)nc(Cl)n1,4.547,4.647,0.1
Thiametoxam,CN1COCN(Cc2cnc(Cl)s2)C1=N[N+](=O)[O-],4.554,5.483,0.929
Quinmerac,Cc1cnc2c(C(=O)O)c(Cl)ccc2c1,4.56,6.043,1.483
4-MEC,CCNC(C)C(=O)c1ccc(C)cc1,4.568,4.864,0.296
Nalbuphine,Oc1ccc2c3c1O[C@H]1[C@@H](O)CC[C@@]4(O)[C@@H](C2)N(CC2CCC2)CC[C@]314,4.571,4.504,0.067
Tapendalol,CCC(c1cccc(O)c1)C(C)CN(C)C,4.592,4.954,0.362
p-nitrophenol (PNP),O=[N+]([O-])c1ccc(O)cc1,4.592,3.393,1.199
MBDB,CCC(Cc1ccc2c(c1)OCO2)NC,4.594,4.675,0.081
Clenbuterol,CC(C)(C)NCC(O)c1cc(Cl)c(N)c(Cl)c1,4.599,5.723,1.124
Ethiofencarb-sulfoxide,CCS(=O)Cc1ccccc1OC(=O)NC,4.621,6.227,1.606
Felbamate,NC(=O)OCC(COC(N)=O)c1ccccc1,4.624,3.956,0.668
1-(4-chlorophenyl)urea,NC(=O)Nc1ccc(Cl)cc1,4.627,4.396,0.231
Lamotrigine,Nc1nnc(-c2cccc(Cl)c2Cl)c(N)n1,4.638,5.788,1.15
Norfentanyl,CCC(=O)N(c1ccccc1)C1CCNCC1,4.638,5.934,1.296
Apomorphine,CN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3,4.641,4.483,0.158
Ornidazole,Cc1ncc([N+](=O)[O-])n1CC(O)CCl,4.643,3.442,1.201
3-hydroxycarbofuran,CNC(=O)Oc1cccc2c1OC(C)(C)C2O,4.644,5.122,0.478
