Compound Name,SMILES,RT,Adj. RT,Abs Error
alpha-hydroxytriazolam,OCc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1Cl)=NC2,7.749,8.253,0.504
Altretamine,CN(C)c1nc(N(C)C)nc(N(C)C)n1,7.759,6.574,1.185
Ramipril,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1[C@H](C(=O)O)C[C@@H]2CCC[C@@H]21,7.77,7.068,0.702
"2,4-DB",O=C(O)CCCOc1ccc(Cl)cc1Cl,7.771,6.262,1.509
Quinupramine,c1ccc2c(c1)CCc1ccccc1N2C1CN2CCC1CC2,7.781,7.523,0.258
Aceprometazine,CC(=O)c1ccc2c(c1)N(CC(C)N(C)C)c1ccccc1S2,7.791,7.456,0.335
Metalaxyl,COCC(=O)N(c1c(C)cccc1C)C(C)C(=O)OC,7.793,7.108,0.685
Mesoridazine,CN1CCCCC1CCN1c2ccccc2Sc2ccc(S(C)=O)cc21,7.794,7.62,0.174
Demeton-s,CCOP(=O)(OCC)SCCSCC,7.8,7.109,0.691
Nuarimol,Oc1ncncc1C(c1ccc(F)cc1)c1ccccc1Cl,7.811,7.789,0.022
4-hydroxymidazolam,Cc1ncc2n1-c1ccc(Cl)cc1C(c1ccccc1F)=NC2O,7.811,8.256,0.445
Diltiazem,COc1ccc([C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(C)=O)cc1,7.832,7.279,0.553
Acenocoumarol,CC(=O)CC(c1ccc([N+](=O)[O-])cc1)c1c(O)c2ccccc2oc1=O,7.84,8.22,0.38
Digitoxigenin,C[C@]12CC[C@H](O)C[C@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](C3=CC(=O)OC3)CC[C@]12O,7.844,7.478,0.366
Desmethylsertraline,N[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21,7.858,7.38,0.478
Benazepril,CCOC(=O)[C@H](CCc1ccccc1)N[C@H]1CCc2ccccc2N(CC(=O)O)C1=O,7.867,8.356,0.489
Azaconazole,Clc1ccc(C2(Cn3cncn3)OCCO2)c(Cl)c1,7.87,7.02,0.85
Desmethylclomipramine,CNCCCN1c2ccccc2CCc2ccc(Cl)cc21,7.87,7.326,0.544
Fluopyram,O=C(NCCc1ncc(C(F)(F)F)cc1Cl)c1ccccc1C(F)(F)F,7.873,7.004,0.869
Pipotiazine,CN(C)S(=O)(=O)c1ccc2c(c1)N(CCCN1CCC(CCO)CC1)c1ccccc1S2,7.876,8.022,0.146
Pimethixene,CN1CCC(=C2c3ccccc3Sc3ccccc32)CC1,7.878,7.751,0.127
Clonazolam,Cc1nnc2n1-c1ccc([N+](=O)[O-])cc1C(c1ccccc1Cl)=NC2,7.892,9.462,1.57
Levomepromazine,COc1ccc2c(c1)N(C[C@H](C)CN(C)C)c1ccccc1S2,7.894,7.632,0.262
Triflupromazine,CN(C)CCCN1c2ccccc2Sc2ccc(C(F)(F)F)cc21,7.894,6.932,0.962
Edoxaban,CN1CCc2nc(C(=O)N[C@@H]3C[C@@H](C(=O)N(C)C)CC[C@@H]3NC(=O)C(=O)Nc3ccc(Cl)cn3)sc2C1,7.907,8.131,0.224
Etodolac,CCc1cccc2c3c([nH]c12)C(CC)(CC(=O)O)OCC3,7.907,6.056,1.851
Methaqualone,Cc1ccccc1-n1c(C)nc2ccccc2c1=O,7.911,7.885,0.026
Clomazon,CC1(C)CON(Cc2ccccc2Cl)C1=O,7.918,7.083,0.835
Hydroxyalprazolam,OCc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2,7.92,8.096,0.176
Cyproconazole,CC(C1CC1)C(O)(Cn1cncn1)c1ccc(Cl)cc1,7.928,6.649,1.279
Flubromazepam,O=C1CN=C(c2ccccc2F)c2cc(Br)ccc2N1,7.93,6.12,1.81
Fentichlor,Oc1ccc(Cl)cc1Sc1cc(Cl)ccc1O,7.932,6.497,1.435
Warfarin,CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,7.934,7.109,0.825
Fipronil sulfone,N#Cc1nn(-c2c(Cl)cc(C(F)(F)F)cc2Cl)c(N)c1S(=O)(=O)C(F)(F)F,7.937,7.444,0.493
Flazasulfuron,COc1cc(OC)nc(NC(=O)NS(=O)(=O)c2ncccc2C(F)(F)F)n1,7.957,6.4,1.557
Pimozide,O=c1[nH]c2ccccc2n1C1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,7.968,8.979,1.011
Chlorantraniprole,CNC(=O)c1cc(Cl)cc(C)c1NC(=O)c1cc(Br)nn1-c1ncccc1Cl,7.968,9.281,1.313
Sertraline,CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21,7.985,8.199,0.214
Neburon,CCCCN(C)C(=O)Nc1ccc(Cl)c(Cl)c1,7.986,6.653,1.333
Cetirizine,O=C(O)COCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,7.989,7.365,0.624
Febarbamate,CCCCOCC(CN1C(=O)NC(=O)C(CC)(c2ccccc2)C1=O)OC(N)=O,7.993,8.327,0.334
Quinapril,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1Cc2ccccc2C[C@H]1C(=O)O,7.995,8.32,0.325
Folpet,O=C1c2ccccc2C(=O)N1SC(Cl)(Cl)Cl,7.996,6.76,1.236
Chlordiazepoxide,CNC1=Nc2ccc(Cl)cc2C(c2ccccc2)=[N+]([O-])C1,7.997,8.261,0.264
Sulfosulfuron,CCS(=O)(=O)c1nc2ccccn2c1S(=O)(=O)NC(=O)Nc1nc(OC)cc(OC)n1,7.998,7.571,0.427
Dihydroergotamine,CN1C[C@H](C(=O)N[C@]2(C)O[C@@]3(O)[C@@H]4CCCN4C(=O)[C@H](Cc4ccccc4)N3C2=O)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21,8.011,8.62,0.609
Fenhexamid,CC1(C(=O)Nc2ccc(O)c(Cl)c2Cl)CCCCC1,8.018,7.189,0.829
Chlorpromazine,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,8.019,7.186,0.833
Meclonazepam,C[C@@H]1N=C(c2ccccc2Cl)c2cc([N+](=O)[O-])ccc2NC1=O,8.022,7.857,0.165
Methadone,CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1,8.022,8.397,0.375
Tiagabine,Cc1ccsc1C(=CCCN1CCC[C@@H](C(=O)O)C1)c1sccc1C,8.025,6.248,1.777
Triadimefon,CC(C)(C)C(=O)C(Oc1ccc(Cl)cc1)n1cncn1,8.032,7.538,0.494
Glipizide,Cc1cnc(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)NC3CCCCC3)cc2)cn1,8.039,8.251,0.212
Phenylbutazone,CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,8.055,8.166,0.111
Fentin,[OH][Sn]([c]1ccccc1)([c]1ccccc1)[c]1ccccc1,8.078,7.401,0.677
Myclobutanil,CCCCC(C#N)(Cn1cncn1)c1ccc(Cl)cc1,8.079,7.988,0.091
Clomipramine,CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,8.079,7.573,0.506
Loxapine,CN1CCN(C2=Nc3ccccc3Oc3ccc(Cl)cc32)CC1,8.085,8.153,0.068
Tetraconazole,FC(F)C(F)(F)OCC(Cn1cncn1)c1ccc(Cl)cc1Cl,8.103,7.037,1.066
Terbutryn,CCNc1nc(NC(C)(C)C)nc(SC)n1,8.103,7.145,0.958
Glibornuride,Cc1ccc(S(=O)(=O)NC(=O)N[C@H]2[C@H]3CC[C@@](C)([C@H]2O)C3(C)C)cc1,8.127,7.352,0.775
Sulindac,CC1=C(CC(=O)O)c2cc(F)ccc2/C1=C\c1ccc(S(C)=O)cc1,8.13,8.152,0.022
1-hydroxymidazolam,OCc1ncc2n1-c1ccc(Cl)cc1C(c1ccccc1F)=NC2,8.132,7.774,0.358
Mequitazine,c1ccc2c(c1)Sc1ccccc1N2CC1CN2CCC1CC2,8.139,7.395,0.744
Floctafenin,O=C(OCC(O)CO)c1ccccc1Nc1ccnc2c(C(F)(F)F)cccc12,8.162,7.188,0.974
Clobazam,CN1C(=O)CC(=O)N(c2ccccc2)c2cc(Cl)ccc21,8.188,8.245,0.057
Nordiazepam,O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1,8.193,7.331,0.862
Acetyldigoxin,CC(=O)O[C@H]1[C@@H](O)C[C@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5C[C@@H](O)[C@]5(C)[C@@H](C7=CC(=O)OC7)CC[C@]65O)C4)O[C@@H]3C)O[C@@H]2C)O[C@@H]1C,8.199,8.236,0.037
Betamethasone-21-acetate,CC(=O)OCC(=O)[C@@]1(O)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,8.212,7.595,0.617
Tianeptine,CN1c2ccccc2C(NCCCCCCC(=O)O)c2ccc(Cl)cc2S1(=O)=O,8.216,9.207,0.991
Oxetorone,CN(C)CC/C=C1\c2ccccc2OCc2c1oc1ccccc21,8.233,8.175,0.058
Penfluridol,OC1(c2ccc(Cl)c(C(F)(F)F)c2)CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,8.249,9.73,1.481
Alfentanil,CCC(=O)N(c1ccccc1)C1(COC)CCN(CCn2nnn(CC)c2=O)CC1,8.253,7.054,1.199
Methoxyfenozide,COc1cccc(C(=O)NN(C(=O)c2cc(C)cc(C)c2)C(C)(C)C)c1C,8.257,9.393,1.136
Nicardipine,COC(=O)C1=C(C)NC(C)=C(C(=O)OCCN(C)Cc2ccccc2)C1c1cccc([N+](=O)[O-])c1,8.26,9.726,1.466
Boscalid,O=C(Nc1ccccc1-c1ccc(Cl)cc1)c1cccnc1Cl,8.269,9.367,1.098
Isradipine,COC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)C1c1cccc2nonc12,8.27,7.876,0.394
Diclofenac,O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,8.284,7.126,1.158
Methyl digitoxin,COC1C(O)CC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CC(O)C5(C)C(C7=CC(=O)OC7)CCC65O)C4)OC3C)OC2C)OC1C,8.291,8.03,0.261
Tropatepine,CN1[C@@H]2CC[C@H]1C/C(=C1\c3ccccc3CSc3ccccc31)C2,8.293,8.345,0.052
Flunitrazepam,CN1C(=O)CN=C(c2ccccc2F)c2cc([N+](=O)[O-])ccc21,8.32,8.051,0.269
Lormetazepam,CN1C(=O)C(O)N=C(c2ccccc2Cl)c2cc(Cl)ccc21,8.326,8.0,0.326
Naftidrofuryl,CCN(CC)CCOC(=O)C(Cc1cccc2ccccc12)CC1CCCO1,8.328,7.249,1.079
Dexamethasone,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,8.335,6.946,1.389
Trimebutine,CCC(COC(=O)c1cc(OC)c(OC)c(OC)c1)(c1ccccc1)N(C)C,8.344,9.801,1.457
Dinoterb,CC(C)(C)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,8.351,6.905,1.446
Clemastine,CN1CCC[C@@H]1CCOC(C)(c1ccccc1)c1ccc(Cl)cc1,8.352,8.858,0.506
Methidathion,COc1nn(CSP(=S)(OC)OC)c(=O)s1,8.369,7.079,1.29
Coumachlore,CC(=O)CC(c1ccc(Cl)cc1)c1c(O)c2ccccc2oc1=O,8.38,8.04,0.34
Estazolam,Clc1ccc2c(c1)C(c1ccccc1)=NCc1nncn1-2,8.385,8.05,0.335
Hexaconazole,CCCCC(O)(Cn1cncn1)c1ccc(Cl)cc1Cl,8.4,7.833,0.567
Tebuconazole,CC(C)(C)C(O)(CCc1ccc(Cl)cc1)Cn1cncn1,8.422,7.543,0.879
Fenarimol,OC(c1ccc(Cl)cc1)(c1cncnc1)c1ccccc1Cl,8.431,8.876,0.445
Amphotericine B,C[C@@H]1[C@H](O)[C@@H](C)/C=C/C=C/C=C/C=C/C=C/C=C/C=C/[C@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@H](N)[C@@H]2O)C[C@@H]2O[C@](O)(C[C@@H](O)C[C@@H](O)[C@H](O)CC[C@@H](O)C[C@@H](O)CC(=O)O[C@H]1C)C[C@H](O)[C@H]2C(=O)O,8.435,7.038,1.397
Triazolam,Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1Cl)=NC2,8.437,8.872,0.435
Fluphenazine,OCCN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,8.454,7.133,1.321
Fenpropimorph,CC(Cc1ccc(C(C)(C)C)cc1)CN1CC(C)OC(C)C1,8.456,6.723,1.733
Diflubenzuron,O=C(NC(=O)c1c(F)cccc1F)Nc1ccc(Cl)cc1,8.465,7.032,1.433
Temazepam,CN1C(=O)C(O)N=C(c2ccccc2)c2cc(Cl)ccc21,8.468,7.578,0.89
Etoxazole,CCOc1cc(C(C)(C)C)ccc1C1COC(c2c(F)cccc2F)=N1,8.475,9.798,1.323
Mesosulfuron-methyl,COC(=O)c1ccc(CNS(C)(=O)=O)cc1S(=O)(=O)NC(=O)Nc1nc(OC)cc(OC)n1,8.479,6.82,1.659
Clofibrate,CCOC(=O)C(C)(C)Oc1ccc(Cl)cc1,8.482,7.397,1.085
Thiodicarb,CS/C(C)=N/OC(=O)N(C)SN(C)C(=O)O/N=C(\C)SC,8.488,7.802,0.686
Imazalil,C=CCOC(Cn1ccnc1)c1ccc(Cl)cc1Cl,8.489,6.886,1.603
Proscillaridin,C[C@@H]1O[C@@H](O[C@@H]2C=C3CC[C@@H]4[C@H](CC[C@]5(C)[C@@H](c6ccc(=O)oc6)CC[C@]45O)[C@@]3(C)CC2)[C@H](O)[C@H](O)[C@H]1O,8.495,7.964,0.531
Flubromazolam,Cc1nnc2n1-c1ccc(Br)cc1C(c1ccccc1F)=NC2,8.495,7.841,0.654
Fenamiphos,CCOP(=O)(NC(C)C)Oc1ccc(SC)c(C)c1,8.509,8.43,0.079
Malathion,CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC,8.53,7.741,0.789
Oryzalin,CCCN(CCC)c1c([N+](=O)[O-])cc(S(N)(=O)=O)cc1[N+](=O)[O-],8.531,7.247,1.284
3-Methylclonazepam,CN1C(=O)CN=C(c2ccccc2Cl)c2cc([N+](=O)[O-])ccc21,8.533,8.914,0.381
Mepanipyrim,CC#Cc1cc(C)nc(Nc2ccccc2)n1,8.534,7.854,0.68
Etifoxine,CCNC1=Nc2ccc(Cl)cc2C(C)(c2ccccc2)O1,8.544,8.421,0.123
Tridemorphe,CCCCCCCCCCCCCN1CC(C)OC(C)C1,8.545,7.373,1.172
Ethyl loflazepate,CCOC(=O)C1N=C(c2ccccc2F)c2cc(Cl)ccc2NC1=O,8.55,8.417,0.133
Tebufenozide,CCc1ccc(C(=O)NN(C(=O)c2cc(C)cc(C)c2)C(C)(C)C)cc1,8.56,9.197,0.637
Fenpyrazamine,C=CCSC(=O)n1c(N)c(-c2ccccc2C)c(=O)n1C(C)C,8.583,7.744,0.839
Oleandrin,CO[C@H]1C[C@H](O[C@H]2CC[C@@]3(C)[C@H](CC[C@@H]4[C@@H]3CC[C@]3(C)[C@@H](C5=CC(=O)OC5)[C@@H](OC(C)=O)C[C@]43O)C2)O[C@@H](C)[C@@H]1O,8.589,8.345,0.244
Prochlorperazine,CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,8.592,7.829,0.763
Perphenazine,OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,8.596,7.32,1.276
Penconazole,CCCC(Cn1cncn1)c1ccc(Cl)cc1Cl,8.6,7.333,1.267
Dipyridamole,OCCN(CCO)c1nc(N2CCCCC2)c2nc(N(CCO)CCO)nc(N3CCCCC3)c2n1,8.602,7.258,1.344
Methysticine,COC1=CC(=O)O[C@@H](/C=C/c2ccc3c(c2)OCO3)C1,8.607,6.781,1.826
Sildenafil,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3OCC)nc12,8.609,9.377,0.768
Alprazolam,Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2,8.62,8.591,0.029
Clofibride,CN(C)C(=O)CCCOC(=O)C(C)(C)Oc1ccc(Cl)cc1,8.622,8.367,0.255
Eplerenone,COC(=O)[C@@H]1CC2=CC(=O)CC[C@]2(C)[C@@]23O[C@@H]2C[C@@]2(C)[C@@H](CC[C@@]24CCC(=O)O4)[C@H]13,8.632,7.853,0.779
Bifenazate,COc1ccc(-c2ccccc2)cc1NNC(=O)OC(C)C,8.633,6.917,1.716
1-hydroxypyrene,Oc1ccc2ccc3cccc4ccc1c2c34,8.65,6.907,1.743
Triazamate,CCOC(=O)CSc1nc(C(C)(C)C)nn1C(=O)N(C)C,8.677,7.251,1.426
Gitoxin,C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5CC[C@]5(C)[C@@H](C7=CC(=O)OC7)[C@@H](O)C[C@]65O)C4)O[C@@H]3C)O[C@@H]2C)C[C@H](O)[C@@H]1O,8.68,8.004,0.676
Triflumuron,O=C(NC(=O)c1ccccc1Cl)Nc1ccc(OC(F)(F)F)cc1,8.689,7.668,1.021
Nimodipine,COCCOC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)C1c1cccc([N+](=O)[O-])c1,8.691,9.153,0.462
Fenitrothion,COP(=S)(OC)Oc1ccc([N+](=O)[O-])c(C)c1,8.75,8.205,0.545
Thioproperazine,CN1CCN(CCCN2c3ccccc3Sc3ccc(S(=O)(=O)N(C)C)cc32)CC1,8.755,7.821,0.934
Pyrifenox,CO/N=C(/Cc1cccnc1)c1ccc(Cl)cc1Cl,8.763,7.958,0.805
Apixaban,COc1ccc(-n2nc(C(N)=O)c3c2C(=O)N(c2ccc(N4CCCCC4=O)cc2)CC3)cc1,8.789,8.331,0.458
Flusilazole,C[Si](Cn1cncn1)(c1ccc(F)cc1)c1ccc(F)cc1,8.794,8.101,0.693
Gemfibrozil,Cc1ccc(C)c(OCCCC(C)(C)C(=O)O)c1,8.799,7.115,1.684
Flupenthixol,OCCN1CCN(CC/C=C2/c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,8.818,8.51,0.308
Yangonin,COc1ccc(/C=C/c2cc(OC)cc(=O)o2)cc1,8.843,7.361,1.482
Alachlor,CCc1cccc(CC)c1N(COC)C(=O)CCl,8.846,8.019,0.827
Terfluzine,CN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,8.848,7.855,0.993
Cyprodinil,Cc1cc(C2CC2)nc(Nc2ccccc2)n1,8.85,7.476,1.374
Clotiapine,CN1CCN(C2=Nc3ccccc3Sc3ccc(Cl)cc32)CC1,8.851,7.354,1.497
Bupiramate,CCCCc1c(C)nc(NCC)nc1OS(=O)(=O)N(C)C,8.853,7.726,1.127
Carpipramine,NC(=O)C1(N2CCCCC2)CCN(CCCN2c3ccccc3CCc3ccccc32)CC1,8.854,9.446,0.592
Indinavir,CC(C)(C)NC(=O)[C@@H]1CN(Cc2cccnc2)CCN1C[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O,8.858,9.2,0.342
Epoxiconazole,Fc1ccc([C@@]2(Cn3cncn3)O[C@@H]2c2ccccc2Cl)cc1,8.889,7.43,1.459
Diclazepam,CN1C(=O)CN=C(c2ccccc2Cl)c2cc(Cl)ccc21,8.9,8.389,0.511
Fenoxycarb,CCOC(=O)NCCOc1ccc(Oc2ccccc2)cc1,8.903,7.809,1.094
Felodipine,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc(Cl)c1Cl,8.921,9.109,0.188
Spirotetramat,CCOC(=O)OC1=C(c2cc(C)ccc2C)C(=O)N[C@]12CC[C@@H](OC)CC2,8.925,8.919,0.006
Zuclopenthixol,OCCN1CCN(CC/C=C2/c3ccccc3Sc3ccc(Cl)cc32)CC1,8.926,8.425,0.501
Metolachlor,CCc1cccc(C)c1N(C(=O)CCl)C(C)COC,8.929,7.896,1.033
Novaluron,O=C(NC(=O)c1c(F)cccc1F)Nc1ccc(OC(F)(F)C(F)OC(F)(F)F)c(Cl)c1,8.937,8.222,0.715
Aripiprazole,O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,8.944,9.78,0.836
Azinphos-methyl,COP(=S)(OC)SCn1nnc2ccccc2c1=O,8.948,7.81,1.138
Bepridil,CC(C)COCC(CN(Cc1ccccc1)c1ccccc1)N1CCCC1,8.951,8.885,0.066
Phosmet,COP(=S)(OC)SCN1C(=O)c2ccccc2C1=O,8.951,7.737,1.214
Diazinon,CCOP(=S)(OCC)Oc1cc(C)nc(C(C)C)n1,8.953,8.986,0.033
Midazolam,Cc1ncc2n1-c1ccc(Cl)cc1C(c1ccccc1F)=NC2,8.976,8.291,0.685
Bisacodyl,CC(=O)Oc1ccc(C(c2ccc(OC(C)=O)cc2)c2ccccn2)cc1,8.984,8.853,0.131
Pyridafenthion,CCOP(=S)(OCC)Oc1ccc(=O)n(-c2ccccc2)n1,9.004,9.616,0.612
Fenbuconazole,N#CC(CCc1ccc(Cl)cc1)(Cn1cncn1)c1ccccc1,9.005,8.871,0.134
Iprodione,CC(C)NC(=O)N1CC(=O)N(c2cc(Cl)cc(Cl)c2)C1=O,9.012,7.804,1.208
Sulfotep,CCOP(=S)(OCC)OP(=S)(OCC)OCC,9.025,8.442,0.583
Triflusulfuron-methyl,COC(=O)c1cccc(C)c1S(=O)(=O)NC(=O)Nc1nc(OCC(F)(F)F)nc(N(C)C)n1,9.03,9.682,0.652
Bitertanol,CC(C)(C)C(O)C(Oc1ccc(-c2ccccc2)cc1)n1cncn1,9.035,8.416,0.619
Fluquinconazole,O=c1c2cc(F)ccc2nc(-n2cncn2)n1-c1ccc(Cl)cc1Cl,9.037,9.821,0.784
Terbinafine,CN(C/C=C/C#CC(C)(C)C)Cc1cccc2ccccc12,9.047,9.166,0.119
Indomethacin,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,9.055,9.265,0.21
Mecarbam,CCOC(=O)N(C)C(=O)CSP(=S)(OCC)OCC,9.069,8.045,1.024
Dimethomorph,COc1ccc(/C(=C/C(=O)N2CCOCC2)c2ccc(Cl)cc2)cc1OC,9.087,7.683,1.404
Parathion-ethyl,CCOP(=S)(OCC)Oc1ccc([N+](=O)[O-])cc1,9.139,8.544,0.595
Quinalphos,CCOP(=S)(OCC)Oc1cnc2ccccc2n1,9.139,8.801,0.338
Diazepam,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,9.139,8.239,0.9
Finasteride,CC(C)(C)NC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4NC(=O)C=C[C@]4(C)[C@H]3CC[C@]12C,9.166,7.284,1.882
Isophenphos,CCOP(=S)(NC(C)C)Oc1ccccc1C(=O)OC(C)C,9.166,8.686,0.48
Clomifene,CCN(CC)CCOc1ccc(C(=C(Cl)c2ccccc2)c2ccccc2)cc1,9.174,9.222,0.048
Glibenclamide,COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,9.18,8.695,0.485
Triflumizole,CCCOC/C(=N\c1ccc(Cl)cc1C(F)(F)F)n1ccnc1,9.186,7.817,1.369
Etizolam,CCc1cc2c(s1)-n1c(C)nnc1CN=C2c1ccccc1Cl,9.196,8.201,0.995
Captodiamine,CCCCSc1ccc(C(SCCN(C)C)c2ccccc2)cc1,9.225,8.299,0.926
Canrenoic acid,C[C@]12CCC(=O)C=C1C=C[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@@]2(O)CCC(=O)O,9.239,8.305,0.934
Cyflufenamide,O=C(Cc1ccccc1)N/C(=N\OCC1CC1)c1c(C(F)(F)F)ccc(F)c1F,9.25,7.927,1.323
Fenoverine,O=C(CN1CCN(Cc2ccc3c(c2)OCO3)CC1)N1c2ccccc2Sc2ccccc21,9.259,10.432,1.173
Benzbromarone,CCc1oc2ccccc2c1C(=O)c1cc(Br)c(O)c(Br)c1,9.268,8.748,0.52
Propiconazole,CCCC1COC(Cn2cncn2)(c2ccc(Cl)cc2Cl)O1,9.303,7.8,1.503
Diflufenican,O=C(Nc1ccc(F)cc1F)c1cccnc1Oc1cccc(C(F)(F)F)c1,9.307,8.587,0.72
Thioridazine,CSc1ccc2c(c1)N(CCC1CCCCN1C)c1ccccc1S2,9.31,7.993,1.317
Noscapine,COc1ccc2c(c1OC)C(=O)O[C@@H]2[C@H]1c2c(cc3c(c2OC)OCO3)CCN1C,9.316,7.926,1.39
Isaconazole,Clc1ccc(C(Cn2ccnc2)OCc2c(Cl)cccc2Cl)c(Cl)c1,9.324,10.571,1.247
Hexaflumuron,O=C(NC(=O)c1c(F)cccc1F)Nc1cc(Cl)c(OC(F)(F)C(F)F)c(Cl)c1,9.324,8.386,0.938
Pirimiphos methyl,CCN(CC)c1nc(C)cc(OP(=S)(OC)OC)n1,9.328,8.26,1.068
Fenthion,COP(=S)(OC)Oc1ccc(SC)c(C)c1,9.355,7.698,1.657
11-OH-THC,CCCCCc1cc(O)c2c(c1)OC(C)(C)[C@@H]1CCC(CO)=C[C@@H]21,9.365,8.819,0.546
Nelfinavir,Cc1c(O)cccc1C(=O)N[C@@H](CSc1ccccc1)[C@H](O)CN1C[C@H]2CCCC[C@H]2C[C@H]1C(=O)NC(C)(C)C,9.383,11.134,1.751
Lufenuron,O=C(NC(=O)c1c(F)cccc1F)Nc1cc(Cl)c(OC(F)(F)C(F)C(F)(F)F)cc1Cl,9.393,9.168,0.225
Bromadiolone,O=c1oc2ccccc2c(O)c1C(CC(O)c1ccc(-c2ccc(Br)cc2)cc1)c1ccccc1,9.394,10.839,1.445
Aclonifen,Nc1c([N+](=O)[O-])ccc(Oc2ccccc2)c1Cl,9.394,7.8,1.594
Disulfoton,CCOP(=S)(OCC)SCCSCC,9.402,7.582,1.82
Fluazinam,O=[N+]([O-])c1cc(C(F)(F)F)c(Cl)c([N+](=O)[O-])c1Nc1ncc(C(F)(F)F)cc1Cl,9.406,10.386,0.98
Kresoxim-methyl,CO/N=C(/C(=O)OC)c1ccccc1COc1ccccc1C,9.411,9.109,0.302
Deschloroetizolam,CCc1cc2c(s1)-n1c(C)nnc1CN=C2c1ccccc1,9.428,8.052,1.376
Loprazolam,CN1CCN(/C=C2\N=C3CN=C(c4ccccc4Cl)c4cc([N+](=O)[O-])ccc4N3C2=O)CC1,9.47,9.745,0.275
Halofantrine,CCCCN(CCCC)CCC(O)c1cc2c(Cl)cc(Cl)cc2c2cc(C(F)(F)F)ccc12,9.471,9.867,0.396
Cannabidiol,C=C(C)[C@@H]1CC=C(C)C[C@H]1c1c(O)cc(CCCCC)cc1O,9.472,8.249,1.223
Tebufenpyrad,CCc1nn(C)c(C(=O)NCc2ccc(C(C)(C)C)cc2)c1Cl,9.505,8.287,1.218
Atazanavir,COC(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)CN(Cc1ccc(-c2ccccn2)cc1)NC(=O)[C@@H](NC(=O)OC)C(C)(C)C)C(C)(C)C,9.509,10.88,1.371
