Compound Name,SMILES,RT (min)
Proscillaridin,C[C@@H]1O[C@@H](O[C@@H]2C=C3CC[C@@H]4[C@H](CC[C@]5(C)[C@@H](c6ccc(=O)oc6)CC[C@]45O)[C@@]3(C)CC2)[C@H](O)[C@H](O)[C@H]1O,8.495
Flubromazolam,Cc1nnc2n1-c1ccc(Br)cc1C(c1ccccc1F)=NC2,8.495
Fenamiphos,CCOP(=O)(NC(C)C)Oc1ccc(SC)c(C)c1,8.509
Malathion,CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC,8.53
Oryzalin,CCCN(CCC)c1c([N+](=O)[O-])cc(S(N)(=O)=O)cc1[N+](=O)[O-],8.531
3-Methylclonazepam,CN1C(=O)CN=C(c2ccccc2Cl)c2cc([N+](=O)[O-])ccc21,8.533
Mepanipyrim,CC#Cc1cc(C)nc(Nc2ccccc2)n1,8.534
Etifoxine,CCNC1=Nc2ccc(Cl)cc2C(C)(c2ccccc2)O1,8.544
Tridemorphe,CCCCCCCCCCCCCN1CC(C)OC(C)C1,8.545
Ethyl loflazepate,CCOC(=O)C1N=C(c2ccccc2F)c2cc(Cl)ccc2NC1=O,8.55
Tebufenozide,CCc1ccc(C(=O)NN(C(=O)c2cc(C)cc(C)c2)C(C)(C)C)cc1,8.56
Fenpyrazamine,C=CCSC(=O)n1c(N)c(-c2ccccc2C)c(=O)n1C(C)C,8.583
Oleandrin,CO[C@H]1C[C@H](O[C@H]2CC[C@@]3(C)[C@H](CC[C@@H]4[C@@H]3CC[C@]3(C)[C@@H](C5=CC(=O)OC5)[C@@H](OC(C)=O)C[C@]43O)C2)O[C@@H](C)[C@@H]1O,8.589
Prochlorperazine,CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,8.592
Perphenazine,OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,8.596
Penconazole,CCCC(Cn1cncn1)c1ccc(Cl)cc1Cl,8.6
Dipyridamole,OCCN(CCO)c1nc(N2CCCCC2)c2nc(N(CCO)CCO)nc(N3CCCCC3)c2n1,8.602
Methysticine,COC1=CC(=O)O[C@@H](/C=C/c2ccc3c(c2)OCO3)C1,8.607
Sildenafil,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3OCC)nc12,8.609
Alprazolam,Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2,8.62
Clofibride,CN(C)C(=O)CCCOC(=O)C(C)(C)Oc1ccc(Cl)cc1,8.622
Eplerenone,COC(=O)[C@@H]1CC2=CC(=O)CC[C@]2(C)[C@@]23O[C@@H]2C[C@@]2(C)[C@@H](CC[C@@]24CCC(=O)O4)[C@H]13,8.632
Bifenazate,COc1ccc(-c2ccccc2)cc1NNC(=O)OC(C)C,8.633
1-hydroxypyrene,Oc1ccc2ccc3cccc4ccc1c2c34,8.65
Triazamate,CCOC(=O)CSc1nc(C(C)(C)C)nn1C(=O)N(C)C,8.677
Gitoxin,C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5CC[C@]5(C)[C@@H](C7=CC(=O)OC7)[C@@H](O)C[C@]65O)C4)O[C@@H]3C)O[C@@H]2C)C[C@H](O)[C@@H]1O,8.68
Triflumuron,O=C(NC(=O)c1ccccc1Cl)Nc1ccc(OC(F)(F)F)cc1,8.689
Nimodipine,COCCOC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)C1c1cccc([N+](=O)[O-])c1,8.691
Fenitrothion,COP(=S)(OC)Oc1ccc([N+](=O)[O-])c(C)c1,8.75
Thioproperazine,CN1CCN(CCCN2c3ccccc3Sc3ccc(S(=O)(=O)N(C)C)cc32)CC1,8.755
Pyrifenox,CO/N=C(/Cc1cccnc1)c1ccc(Cl)cc1Cl,8.763
Apixaban,COc1ccc(-n2nc(C(N)=O)c3c2C(=O)N(c2ccc(N4CCCCC4=O)cc2)CC3)cc1,8.789
Flusilazole,C[Si](Cn1cncn1)(c1ccc(F)cc1)c1ccc(F)cc1,8.794
Gemfibrozil,Cc1ccc(C)c(OCCCC(C)(C)C(=O)O)c1,8.799
Flupenthixol,OCCN1CCN(CC/C=C2/c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,8.818
Yangonin,COc1ccc(/C=C/c2cc(OC)cc(=O)o2)cc1,8.843
Alachlor,CCc1cccc(CC)c1N(COC)C(=O)CCl,8.846
Terfluzine,CN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,8.848
Cyprodinil,Cc1cc(C2CC2)nc(Nc2ccccc2)n1,8.85
Clotiapine,CN1CCN(C2=Nc3ccccc3Sc3ccc(Cl)cc32)CC1,8.851
Bupiramate,CCCCc1c(C)nc(NCC)nc1OS(=O)(=O)N(C)C,8.853
Carpipramine,NC(=O)C1(N2CCCCC2)CCN(CCCN2c3ccccc3CCc3ccccc32)CC1,8.854
Indinavir,CC(C)(C)NC(=O)[C@@H]1CN(Cc2cccnc2)CCN1C[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O,8.858
Epoxiconazole,Fc1ccc([C@@]2(Cn3cncn3)O[C@@H]2c2ccccc2Cl)cc1,8.889
Diclazepam,CN1C(=O)CN=C(c2ccccc2Cl)c2cc(Cl)ccc21,8.9
Fenoxycarb,CCOC(=O)NCCOc1ccc(Oc2ccccc2)cc1,8.903
Felodipine,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc(Cl)c1Cl,8.921
Spirotetramat,CCOC(=O)OC1=C(c2cc(C)ccc2C)C(=O)N[C@]12CC[C@@H](OC)CC2,8.925
Zuclopenthixol,OCCN1CCN(CC/C=C2/c3ccccc3Sc3ccc(Cl)cc32)CC1,8.926
Metolachlor,CCc1cccc(C)c1N(C(=O)CCl)C(C)COC,8.929
Novaluron,O=C(NC(=O)c1c(F)cccc1F)Nc1ccc(OC(F)(F)C(F)OC(F)(F)F)c(Cl)c1,8.937
Aripiprazole,O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,8.944
Azinphos-methyl,COP(=S)(OC)SCn1nnc2ccccc2c1=O,8.948
Bepridil,CC(C)COCC(CN(Cc1ccccc1)c1ccccc1)N1CCCC1,8.951
Phosmet,COP(=S)(OC)SCN1C(=O)c2ccccc2C1=O,8.951
Diazinon,CCOP(=S)(OCC)Oc1cc(C)nc(C(C)C)n1,8.953
Midazolam,Cc1ncc2n1-c1ccc(Cl)cc1C(c1ccccc1F)=NC2,8.976
Bisacodyl,CC(=O)Oc1ccc(C(c2ccc(OC(C)=O)cc2)c2ccccn2)cc1,8.984
Pyridafenthion,CCOP(=S)(OCC)Oc1ccc(=O)n(-c2ccccc2)n1,9.004
Fenbuconazole,N#CC(CCc1ccc(Cl)cc1)(Cn1cncn1)c1ccccc1,9.005
Iprodione,CC(C)NC(=O)N1CC(=O)N(c2cc(Cl)cc(Cl)c2)C1=O,9.012
Sulfotep,CCOP(=S)(OCC)OP(=S)(OCC)OCC,9.025
Triflusulfuron-methyl,COC(=O)c1cccc(C)c1S(=O)(=O)NC(=O)Nc1nc(OCC(F)(F)F)nc(N(C)C)n1,9.03
Bitertanol,CC(C)(C)C(O)C(Oc1ccc(-c2ccccc2)cc1)n1cncn1,9.035
Fluquinconazole,O=c1c2cc(F)ccc2nc(-n2cncn2)n1-c1ccc(Cl)cc1Cl,9.037
Terbinafine,CN(C/C=C/C#CC(C)(C)C)Cc1cccc2ccccc12,9.047
Indomethacin,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,9.055
Mecarbam,CCOC(=O)N(C)C(=O)CSP(=S)(OCC)OCC,9.069
Dimethomorph,COc1ccc(/C(=C/C(=O)N2CCOCC2)c2ccc(Cl)cc2)cc1OC,9.087
Parathion-ethyl,CCOP(=S)(OCC)Oc1ccc([N+](=O)[O-])cc1,9.139
Quinalphos,CCOP(=S)(OCC)Oc1cnc2ccccc2n1,9.139
Diazepam,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,9.139
Finasteride,CC(C)(C)NC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4NC(=O)C=C[C@]4(C)[C@H]3CC[C@]12C,9.166
Isophenphos,CCOP(=S)(NC(C)C)Oc1ccccc1C(=O)OC(C)C,9.166
Clomifene,CCN(CC)CCOc1ccc(C(=C(Cl)c2ccccc2)c2ccccc2)cc1,9.174
Glibenclamide,COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,9.18
Triflumizole,CCCOC/C(=N\c1ccc(Cl)cc1C(F)(F)F)n1ccnc1,9.186
Etizolam,CCc1cc2c(s1)-n1c(C)nnc1CN=C2c1ccccc1Cl,9.196
Captodiamine,CCCCSc1ccc(C(SCCN(C)C)c2ccccc2)cc1,9.225
Canrenoic acid,C[C@]12CCC(=O)C=C1C=C[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@@]2(O)CCC(=O)O,9.239
Cyflufenamide,O=C(Cc1ccccc1)N/C(=N\OCC1CC1)c1c(C(F)(F)F)ccc(F)c1F,9.25
Fenoverine,O=C(CN1CCN(Cc2ccc3c(c2)OCO3)CC1)N1c2ccccc2Sc2ccccc21,9.259
Benzbromarone,CCc1oc2ccccc2c1C(=O)c1cc(Br)c(O)c(Br)c1,9.268
Propiconazole,CCCC1COC(Cn2cncn2)(c2ccc(Cl)cc2Cl)O1,9.303
Diflufenican,O=C(Nc1ccc(F)cc1F)c1cccnc1Oc1cccc(C(F)(F)F)c1,9.307
Thioridazine,CSc1ccc2c(c1)N(CCC1CCCCN1C)c1ccccc1S2,9.31
Noscapine,COc1ccc2c(c1OC)C(=O)O[C@@H]2[C@H]1c2c(cc3c(c2OC)OCO3)CCN1C,9.316
Isaconazole,Clc1ccc(C(Cn2ccnc2)OCc2c(Cl)cccc2Cl)c(Cl)c1,9.324
Hexaflumuron,O=C(NC(=O)c1c(F)cccc1F)Nc1cc(Cl)c(OC(F)(F)C(F)F)c(Cl)c1,9.324
Pirimiphos methyl,CCN(CC)c1nc(C)cc(OP(=S)(OC)OC)n1,9.328
Fenthion,COP(=S)(OC)Oc1ccc(SC)c(C)c1,9.355
11-OH-THC,CCCCCc1cc(O)c2c(c1)OC(C)(C)[C@@H]1CCC(CO)=C[C@@H]21,9.365
Nelfinavir,Cc1c(O)cccc1C(=O)N[C@@H](CSc1ccccc1)[C@H](O)CN1C[C@H]2CCCC[C@H]2C[C@H]1C(=O)NC(C)(C)C,9.383
Lufenuron,O=C(NC(=O)c1c(F)cccc1F)Nc1cc(Cl)c(OC(F)(F)C(F)C(F)(F)F)cc1Cl,9.393
Bromadiolone,O=c1oc2ccccc2c(O)c1C(CC(O)c1ccc(-c2ccc(Br)cc2)cc1)c1ccccc1,9.394
Aclonifen,Nc1c([N+](=O)[O-])ccc(Oc2ccccc2)c1Cl,9.394
Disulfoton,CCOP(=S)(OCC)SCCSCC,9.402
Fluazinam,O=[N+]([O-])c1cc(C(F)(F)F)c(Cl)c([N+](=O)[O-])c1Nc1ncc(C(F)(F)F)cc1Cl,9.406
Kresoxim-methyl,CO/N=C(/C(=O)OC)c1ccccc1COc1ccccc1C,9.411
Deschloroetizolam,CCc1cc2c(s1)-n1c(C)nnc1CN=C2c1ccccc1,9.428
Loprazolam,CN1CCN(/C=C2\N=C3CN=C(c4ccccc4Cl)c4cc([N+](=O)[O-])ccc4N3C2=O)CC1,9.47
Halofantrine,CCCCN(CCCC)CCC(O)c1cc2c(Cl)cc(Cl)cc2c2cc(C(F)(F)F)ccc12,9.471
Cannabidiol,C=C(C)[C@@H]1CC=C(C)C[C@H]1c1c(O)cc(CCCCC)cc1O,9.472
Tebufenpyrad,CCc1nn(C)c(C(=O)NCc2ccc(C(C)(C)C)cc2)c1Cl,9.505
Atazanavir,COC(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)CN(Cc1ccc(-c2ccccn2)cc1)NC(=O)[C@@H](NC(=O)OC)C(C)(C)C)C(C)(C)C,9.509
CP 47 497,CCCCCCC(C)(C)c1ccc([C@@H]2CCC[C@H](O)C2)c(O)c1,9.513
Phoxime,CCOP(=S)(OCC)O/N=C(\C#N)c1ccccc1,9.523
JWH-018 pentanoic acid,O=C(O)CCCCn1cc(C(=O)c2cccc3ccccc23)c2ccccc21,9.543
Digitoxin,C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5CC[C@]5(C)[C@@H](C7=CC(=O)OC7)CC[C@]65O)C4)O[C@@H]3C)O[C@@H]2C)C[C@H](O)[C@@H]1O,9.6
Terbufos,CCOP(=S)(OCC)SCSC(C)(C)C,9.603
Bromopropylate,CC(C)OC(=O)C(O)(c1ccc(Br)cc1)c1ccc(Br)cc1,9.646
Profenophos,CCCSP(=O)(OCC)Oc1ccc(Br)cc1Cl,9.662
THC-COOH,CCCCCc1cc(O)c2c(c1)OC(C)(C)[C@@H]1CCC(C(=O)O)=C[C@@H]21,9.679
Azinphos-ethyl,CCOP(=S)(OCC)SCn1nnc2ccccc2c1=O,9.688
Fenvalerate,CC(C)C(C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1)c1ccc(Cl)cc1,9.688
Chlorpyriphos-methyl,COP(=S)(OC)Oc1nc(Cl)c(Cl)cc1Cl,9.69
Flucythrinate,CC(C)C(C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1)c1ccc(OC(F)F)cc1,9.69
Trifluralin,CCCN(CCC)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],9.737
Reserpine,COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5cc(OC)ccc5c4CCN3C[C@H]2C[C@@H](OC(=O)c2cc(OC)c(OC)c(OC)c2)[C@@H]1OC,9.74
Glimepiride,CCC1=C(C)CN(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)N[C@H]3CC[C@H](C)CC3)cc2)C1=O,9.741
Oxadiazon,CC(C)Oc1cc(-n2nc(C(C)(C)C)oc2=O)c(Cl)cc1Cl,9.744
Prochloraz,CCCN(CCOc1c(Cl)cc(Cl)cc1Cl)C(=O)n1ccnc1,9.758
Trifloxystrobin,CO/N=C(/C(=O)OC)c1ccccc1CO/N=C(\C)c1cccc(C(F)(F)F)c1,9.766
Benfluralin,CCCCN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],9.781
Fluroxypyr-1-methylheptylester,CCCCCCC(C)OC(=O)COc1nc(F)c(Cl)c(N)c1Cl,9.786
Buprofezin,CC(C)N1C(=O)N(c2ccccc2)CS/C1=N/C(C)(C)C,9.823
Meclozine,Cc1cccc(CN2CCN(C(c3ccccc3)c3ccc(Cl)cc3)CC2)c1,9.846
Prazepam,O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1CC1CC1,9.861
Exemestane,C=C1C[C@@H]2[C@H](CC[C@]3(C)C(=O)CC[C@@H]23)[C@@]2(C)C=CC(=O)C=C12,9.862
Bromophos-methyl,COP(=S)(OC)Oc1cc(Cl)c(Br)cc1Cl,9.865
Pirimiphos ethyl,CCOP(=S)(OCC)Oc1cc(C)nc(N(CC)CC)n1,9.871
Acetyldigitoxin,CC(=O)O[C@H]1C[C@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5CC[C@]5(C)[C@@H](C7=CC(=O)OC7)CC[C@]65O)C4)O[C@@H]3C)O[C@@H]2C)O[C@H](C)[C@H]1O,9.877
Indoxacarb,COC(=O)N(C(=O)N1CO[C@@]2(C(=O)OC)Cc3cc(Cl)ccc3C2=N1)c1ccc(OC(F)(F)F)cc1,9.915
Flufenoxuron,O=C(NC(=O)c1c(F)cccc1F)Nc1ccc(Oc2ccc(C(F)(F)F)cc2Cl)cc1F,9.936
Lopinavir,Cc1cccc(C)c1OCC(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@H](Cc1ccccc1)NC(=O)[C@H](C(C)C)N1CCCNC1=O,9.942
Desethylamiodarone,CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCNCC)c(I)c1,9.945
Difenoconazole,CC1COC(Cn2cncn2)(c2ccc(Oc3ccc(Cl)cc3)cc2Cl)O1,9.954
Phosalone,CCOP(=S)(OCC)SCn1c(=O)oc2cc(Cl)ccc21,9.956
Bifenox,COC(=O)c1cc(Oc2ccc(Cl)cc2Cl)ccc1[N+](=O)[O-],9.958
Pyraclostrobine,COC(=O)N(OC)c1ccccc1COc1ccn(-c2ccc(Cl)cc2)n1,9.987
Suriclone,CN1CCN(C(=O)OC2C3=C(SCCS3)C(=O)N2c2ccc3ccc(Cl)nc3n2)CC1,10.021
Cannabinol,CCCCCc1cc(O)c2c(c1)OC(C)(C)c1ccc(C)cc1-2,10.058
Benzoximate,CCON=C(OC(=O)c1ccccc1)c1c(OC)ccc(Cl)c1OC,10.06
Difenacoum,O=c1oc2ccccc2c(O)c1C1CC(c2ccc(-c3ccccc3)cc2)Cc2ccccc21,10.07
Amcinonide,CC(=O)OCC(=O)[C@@]12OC3(CCCC3)O[C@@H]1C[C@H]1[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]12C,10.073
Econazole,Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1,10.076
Alpidem,CCCN(CCC)C(=O)Cc1c(-c2ccc(Cl)cc2)nc2ccc(Cl)cn12,10.132
Dialifos,CCOP(=S)(OCC)SC(CCl)N1C(=O)c2ccccc2C1=O,10.152
Fenofibrate,CC(C)OC(=O)C(C)(C)Oc1ccc(C(=O)c2ccc(Cl)cc2)cc1,10.181
Chlorpyriphos-ethyl,CCOP(=S)(OCC)Oc1nc(Cl)c(Cl)cc1Cl,10.194
Quizalofop ethyl,CCOC(=O)C(C)Oc1ccc(Oc2cnc3cc(Cl)ccc3n2)cc1,10.233
THC,CCCCCc1cc(O)c2c(c1)OC(C)(C)[C@@H]1CCC(C)=C[C@@H]21,10.251
Spiromesifen,Cc1cc(C)c(C2=C(OC(=O)CC(C)(C)C)C3(CCCC3)OC2=O)c(C)c1,10.251
Ethion,CCOP(=S)(OCC)SCSP(=S)(OCC)OCC,10.257
Bromocriptine,CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@]2(O)O[C@](NC(=O)[C@@H]3C=C4c5cccc6[nH]c(Br)c(c56)C[C@H]4N(C)C3)(C(C)C)C(=O)N12,10.294
Pyriproxyfen,CC(COc1ccc(Oc2ccccc2)cc1)Oc1ccccn1,10.3
Pyrazophos,CCOC(=O)c1cn2nc(OP(=S)(OCC)OCC)cc2nc1C,10.312
Spironolactone,CC(=O)S[C@@H]1CC2=CC(=O)CC[C@]2(C)[C@H]2CC[C@@]3(C)[C@@H](CC[C@@]34CCC(=O)O4)[C@H]12,10.322
Bromophos ethyl,CCOP(=S)(OCC)Oc1cc(Cl)c(Br)cc1Cl,10.349
Spinosad,CCC1CCCC(OC2CCC(N(C)C)C(C)O2)[C@@H](C)C(=O)C2=CC3[C@@H]4CC(OC5OC(C)C(OC)C(OC)C5OC)CC4C=C[C@H]3[C@@H]2CC(=O)O1,10.359
Coumaphos,CCOP(=S)(OCC)Oc1ccc2c(C)c(Cl)c(=O)oc2c1,10.369
Carbophenothion,CCOP(=S)(OCC)SCSc1ccc(Cl)cc1,10.388
Clotrimazole,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1,10.447
Chlorthiophos,CCOP(=S)(OCC)Oc1cc(Cl)c(SC)cc1Cl,10.449
Prothiophos,CCCSP(=S)(OCC)Oc1ccc(Cl)cc1Cl,10.455
Cortivazol,CC(=O)OCC(=O)[C@@]1(O)[C@H](C)C[C@H]2[C@@H]3C=C(C)C4=Cc5c(cnn5-c5ccccc5)C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,10.469
Miconazole,Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,10.472
Chlormadinone acetate,CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C=C(Cl)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,10.484
Spirodiclofen,CCC(C)(C)C(=O)OC1=C(c2cc(Cl)cc(Cl)c2)C(=O)OC12CCCCC2,10.485
Dioxathion,CCOP(=S)(OCC)SC1OCCOC1SP(=S)(OCC)OCC,10.494
Acrinathrin,CC1(C)[C@H](C(=O)O[C@H](C#N)c2cccc(Oc3ccccc3)c2)[C@@H]1/C=C\C(=O)OC(C(F)(F)F)C(F)(F)F,10.501
Loratadine,CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1,10.513
Fenpropathrin,CC1(C)C(C(=O)O[C@H](C#N)c2cccc(Oc3ccccc3)c2)C1(C)C,10.519
JWH-203,CCCCCn1cc(C(=O)Cc2ccccc2Cl)c2ccccc21,10.521
JWH-250,CCCCCn1cc(C(=O)Cc2ccccc2OC)c2ccccc21,10.541
Ketoconazole,CC(=O)N1CCN(c2ccc(OC[C@H]3CO[C@](Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,10.577
Beclometazone dipropionate,CCC(=O)OCC(=O)[C@@]1(OC(=O)CC)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@@]21C,10.581
Amiodarone,CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1,10.585
Propaquizafop,CC(C)=NOCCOC(=O)[C@@H](C)Oc1ccc(Oc2cnc3cc(Cl)ccc3n2)cc1,10.608
Canrenone,C[C@]12CCC(=O)C=C1C=C[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@@]21CCC(=O)O1,10.675
JWH-015,CCCn1c(C)c(C(=O)c2cccc3ccccc23)c2ccccc21,10.677
Milbemectin A4,CC[C@H]1O[C@]2(CC[C@@H]1C)C[C@@H]1C[C@@H](C/C=C(\C)C[C@@H](C)/C=C/C=C3\CO[C@@H]4[C@H](O)C(C)=C[C@@H](C(=O)O1)[C@]34O)O2,10.736
Atovaquone,O=C1C(O)=C([C@H]2CC[C@H](c3ccc(Cl)cc3)CC2)C(=O)c2ccccc21,10.77
Fluvalinate,CC(C)C(Nc1ccc(C(F)(F)F)cc1Cl)C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,10.789
Fenpyroximate,Cc1nn(C)c(Oc2ccccc2)c1/C=N/OCc1ccc(C(=O)OC(C)(C)C)cc1,10.829
AM 2201,O=C(c1cccc2ccccc12)c1cn(CCCCCF)c2ccccc12,10.849
Phenothrin,CC(C)=CC1C(C(=O)OCc2cccc(Oc3ccccc3)c2)C1(C)C,10.852
Bifenthrin,Cc1c(COC(=O)C2C(/C=C(\Cl)C(F)(F)F)C2(C)C)cccc1-c1ccccc1,10.914
JWH-073,CCCCn1cc(C(=O)c2cccc3ccccc23)c2ccccc21,10.926
Pyridaben,CC(C)(C)c1ccc(CSc2cnn(C(C)(C)C)c(=O)c2Cl)cc1,10.934
Esfenvalerate,CC(C)[C@H](C(=O)O[C@H](C#N)c1cccc(Oc2ccccc2)c1)c1ccc(Cl)cc1,10.946
Pyridate,CCCCCCCCSC(=O)Oc1cc(Cl)nnc1-c1ccccc1,10.977
JWH-007,CCCCCn1c(C)c(C(=O)c2cccc3ccccc23)c2ccccc21,11.092
JWH-018,CCCCCn1cc(C(=O)c2cccc3ccccc23)c2ccccc21,11.105
Etofenprox,CCOc1ccc(C(C)(C)COCc2cccc(Oc3ccccc3)c2)cc1,11.155
JWH-019,CCCCCCn1cc(C(=O)c2cccc3ccccc23)c2ccccc21,11.202
JWH-122,CCCCCn1cc(C(=O)c2ccc(C)c3ccccc23)c2ccccc21,11.255
JWH-020,CCCCCCCn1cc(C(=O)c2cccc3ccccc23)c2ccccc21,11.285
JWH-210,CCCCCn1cc(C(=O)c2ccc(CC)c3ccccc23)c2ccccc21,11.359
