Compound Name,SMILES,RT (min)
Tolonidine,Cc1ccc(NC2=NCCN2)c(Cl)c1,4.291
Amphepramone,CCN(CC)[C@@H](C)C(=O)c1ccccc1,4.293
Mephedrone,CNC(C)C(=O)c1ccc(C)cc1,4.295
Amfepramone,CCN(CC)C(C)C(=O)c1ccccc1,4.304
Clothianidin,C/N=C(/NCc1cnc(Cl)s1)N[N+](=O)[O-],4.304
Hydroxy-NTN (5-Hydroxy-Imidacloprid),O=[N+]([O-])/N=C1/NCC(O)N1Cc1ccc(Cl)nc1,4.31
Proxyphylline,CC(O)Cn1cnc2c1c(=O)n(C)c(=O)n2C,4.311
m-toluidine,Cc1cccc(N)c1,4.323
Demeton-s-methyl-sulfone,CCS(=O)(=O)CCSP(=O)(OC)OC,4.325
BDB,CCC(N)Cc1ccc2c(c1)OCO2,4.326
o-toluidine,Cc1ccccc1N,4.346
5-APB (5-(2-aminopropyl)benzofuran),CC(N)Cc1ccc2occc2c1,4.359
Amisulpride,CCN1CCCC1CNC(=O)c1cc(S(=O)(=O)CC)c(N)cc1OC,4.38
Tetrahydrozoline,c1ccc2c(c1)CCCC2C1=NCCN1,4.392
Norfenfluramine,CC(N)Cc1cccc(C(F)(F)F)c1,4.396
Dapsone,Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,4.397
Ethylmorphine,CCOc1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@H]4[C@@H](C2)N(C)CC[C@@]341,4.4
Butylone,CCC(NC)C(=O)c1ccc2c(c1)OCO2,4.411
Primidone,CCC1(c2ccccc2)C(=O)NCNC1=O,4.418
MDEA,CCNC(C)Cc1ccc2c(c1)OCO2,4.42
Metoclopramide,CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC,4.426
Zonisamide,NS(=O)(=O)Cc1noc2ccccc12,4.439
Moclobemide,O=C(NCCN1CCOCC1)c1ccc(Cl)cc1,4.48
Tinidazole,CCS(=O)(=O)CCn1c([N+](=O)[O-])cnc1C,4.483
Trimetazidine,COc1ccc(CN2CCNCC2)c(OC)c1OC,4.489
5-hydroxy-florasulam,O=S(=O)(Nc1c(F)cccc1F)c1nc2c(F)cnc(O)n2n1,4.511
Cycloguanil,CC1(C)N=C(N)N=C(N)N1c1ccc(Cl)cc1,4.514
Methoxyphenamine,CNC(C)Cc1ccccc1OC,4.515
Fenuron,CN(C)C(=O)Nc1ccccc1,4.521
Pentedrone,CCCC(NC)C(=O)c1ccccc1,4.537
Pymetrozine,CC1=NNC(=O)N(/N=C/c2cccnc2)C1,4.537
Atrazine-desethyl,CC(C)Nc1nc(N)nc(Cl)n1,4.547
Thiametoxam,CN1COCN(Cc2cnc(Cl)s2)C1=N[N+](=O)[O-],4.554
Quinmerac,Cc1cnc2c(C(=O)O)c(Cl)ccc2c1,4.56
4-MEC,CCNC(C)C(=O)c1ccc(C)cc1,4.568
Nalbuphine,Oc1ccc2c3c1O[C@H]1[C@@H](O)CC[C@@]4(O)[C@@H](C2)N(CC2CCC2)CC[C@]314,4.571
Tapendalol,CCC(c1cccc(O)c1)C(C)CN(C)C,4.592
p-nitrophenol (PNP),O=[N+]([O-])c1ccc(O)cc1,4.592
MBDB,CCC(Cc1ccc2c(c1)OCO2)NC,4.594
Clenbuterol,CC(C)(C)NCC(O)c1cc(Cl)c(N)c(Cl)c1,4.599
Ethiofencarb-sulfoxide,CCS(=O)Cc1ccccc1OC(=O)NC,4.621
Felbamate,NC(=O)OCC(COC(N)=O)c1ccccc1,4.624
1-(4-chlorophenyl)urea,NC(=O)Nc1ccc(Cl)cc1,4.627
Lamotrigine,Nc1nnc(-c2cccc(Cl)c2Cl)c(N)n1,4.638
Norfentanyl,CCC(=O)N(c1ccccc1)C1CCNCC1,4.638
Apomorphine,CN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3,4.641
Ornidazole,Cc1ncc([N+](=O)[O-])n1CC(O)CCl,4.643
3-hydroxycarbofuran,CNC(=O)Oc1cccc2c1OC(C)(C)C2O,4.644
Ethiofencarb-sulfone,CCS(=O)(=O)Cc1ccccc1OC(=O)NC,4.647
Lacosamide,COC[C@@H](NC(C)=O)C(=O)NCc1ccccc1,4.65
Cefamandole,Cn1nnnc1SCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](O)c3ccccc3)[C@H]2SC1,4.657
Nalmefene,C=C1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5,4.664
M-CPP (meta-Chlorophenylpiperazine),Clc1cccc(N2CCNCC2)c1,4.68
Meclofenoxate,CN(C)CCOC(=O)COc1ccc(Cl)cc1,4.68
Timolol,CC(C)(C)NC[C@H](O)COc1nsnc1N1CCOCC1,4.681
N-acetyl-dapsone,CC(=O)Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,4.685
Triamterene,Nc1nc(N)c2nc(-c3ccccc3)c(N)nc2n1,4.708
O-CPP (O-Chlorophenylpiperazine),Clc1ccccc1N1CCNCC1,4.708
Metoprolol,COCCc1ccc(OCC(O)CNC(C)C)cc1,4.716
Benzoylecgonine,CN1[C@H]2CC[C@@H]1[C@@H](C(=O)O)[C@@H](OC(=O)c1ccccc1)C2,4.718
4-MTA,CSc1ccc(CC(C)N)cc1,4.736
P-CPP  (P-Chlorophenylpiperazine),Clc1ccc(N2CCNCC2)cc1,4.736
Carbimazole,CCOC(=O)n1ccn(C)c1=S,4.738
Carbendazim,COC(=O)Nc1nc2ccccc2[nH]1,4.741
Chloramphenicol,O=C(N[C@H](CO)[C@H](O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,4.744
Hydroxybupropion,CC(NC(C)(C)CO)C(=O)c1cccc(Cl)c1,4.768
Ciprofloxacin,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,4.769
TFMPP,FC(F)(F)c1cccc(N2CCNCC2)c1,4.773
Fluconazole,OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,4.775
Selegiline,C#CCN(C)[C@H](C)Cc1ccccc1,4.776
Cafeine,Cn1c(=O)c2c(ncn2C)n(C)c1=O,4.797
Cefalotin,CC(=O)OCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)Cc3cccs3)[C@H]2SC1,4.806
Meprobamate,CCCC(C)(COC(N)=O)COC(N)=O,4.806
Dimethoate,CNC(=O)CSP(=S)(OC)OC,4.811
Mexiletine,Cc1cccc(C)c1OCC(C)N,4.812
Diazoxide,CC1=Nc2ccc(Cl)cc2S(=O)(=O)N1,4.815
Ethidimuron,CCS(=O)(=O)c1nnc(N(C)C(=O)NC)s1,4.818
Tramadol,COc1cccc([C@@]2(O)CCCC[C@@H]2CN(C)C)c1,4.819
3-chloro-p-anisidine,COc1ccc(N)cc1Cl,4.819
Cefoperazone,CCN1CCN(C(=O)N[C@H](C(=O)N[C@@H]2C(=O)N3C(C(=O)O)=C(CSc4nnnn4C)CS[C@H]23)c2ccc(O)cc2)C(=O)C1=O,4.837
Tacrine,Nc1c2c(nc3ccccc13)CCCC2,4.843
Dexfenfluramine,CCN[C@@H](C)Cc1cccc(C(F)(F)F)c1,4.844
Chlortalidone,NS(=O)(=O)c1cc(C2(O)NC(=O)c3ccccc32)ccc1Cl,4.867
2C-B,COc1cc(CCN)c(OC)cc1Br,4.868
Pyrantel,CN1CCCN=C1/C=C/c1cccs1,4.87
2-CB,CCc1ccc(-c2ccc(C#N)cc2)cc1,4.871
"3,3'-Sulfonyldianiline",Nc1cccc(S(=O)(=O)c2cccc(N)c2)c1,4.873
Riboflavin,Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)CO)c2cc1C,4.883
4-chloroaniline,Nc1ccc(Cl)cc1,4.894
Aprobarbital,C=CCC1(C(C)C)C(=O)NC(=O)NC1=O,4.894
Mefenorex,CC(Cc1ccccc1)NCCCCl,4.907
"2,4-D (2,4-Dichlorophenoxyacetic acid)",O=C(O)COc1ccc(Cl)cc1Cl,4.917
Vamidothion,CNC(=O)C(C)SCCSP(=O)(OC)OC,4.949
Mephenesine,Cc1ccccc1OCC(O)CO,4.958
Cafedrine,C[C@H](NCCn1cnc2c1c(=O)n(C)c(=O)n2C)[C@H](O)c1ccccc1,4.959
Norketamine,NC1(c2ccccc2Cl)CCCCC1=O,4.963
Levobunolol,CC(C)(C)NC[C@H](O)COc1cccc2c1CCCC2=O,4.967
Methylclothiazide,CN1C(CCl)Nc2cc(Cl)c(S(N)(=O)=O)cc2S1(=O)=O,4.968
Carbutamide,CCCCNC(=O)NS(=O)(=O)c1ccc(N)cc1,4.976
